smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
COc1ccc(-c2nsc(C)c2C(=O)/N=C(/N)NCc2cc(Cl)c(N)c(Cl)c2)cc1,1,1,bnn,mfp,bace,maximize,greedy_binary,0,0
COc1cccc(C[NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2cn(C(=O)N(C)CCC(C)C)c3ncccc23)c1,1,2,bnn,mfp,bace,maximize,greedy_binary,0,1
CC1=NC(C)(c2cccc(-c3cccnc3)c2)N=C1N,0,2,bnn,mfp,bace,maximize,greedy_binary,0,2
CCCc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)C)c3)C2O)ccc1O,0,2,bnn,mfp,bace,maximize,greedy_binary,0,3
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/CC(F)F)c2)N=C1N,1,3,bnn,mfp,bace,maximize,greedy_binary,0,4
[NH2+]=C(NCc1cc(Cl)cc(Cl)c1)NC(=O)Cn1ccc2ccccc21,0,3,bnn,mfp,bace,maximize,greedy_binary,0,5
CN1C(=O)C(c2ccccc2)(C2CCCCC2)N=C1N,0,3,bnn,mfp,bace,maximize,greedy_binary,0,6
CC(C)COc1ccc2c(c1)C1(CC(C)(C)O2)N=C(N)N(C)C1=O,0,3,bnn,mfp,bace,maximize,greedy_binary,0,7
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCCCF)c2)N=C1N,1,4,bnn,mfp,bace,maximize,greedy_binary,0,8
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccc(F)cc21,1,5,bnn,mfp,bace,maximize,greedy_binary,0,9
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(CCCC(F)(F)F)c2)N=C1N,1,6,bnn,mfp,bace,maximize,greedy_binary,0,10
C[NH2+]C(CO)(COC(=O)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,0,6,bnn,mfp,bace,maximize,greedy_binary,0,11
CC(C)C[C@@]1(C)NC(=N)N(Cc2cccc(Cl)c2)C1=O,0,6,bnn,mfp,bace,maximize,greedy_binary,0,12
CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,7,bnn,mfp,bace,maximize,greedy_binary,0,13
O=C(C1C[NH2+]CC1c1ccccc1)N1CCC(c2ccccc2)CC1,0,7,bnn,mfp,bace,maximize,greedy_binary,0,14
CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccn4)cc32)N=C1N,0,7,bnn,mfp,bace,maximize,greedy_binary,0,15
CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2cscc2CCC2CC2)C(=O)[O-])=N1,0,7,bnn,mfp,bace,maximize,greedy_binary,0,16
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(N3CCOCC3=O)c2)CCCCC1,0,7,bnn,mfp,bace,maximize,greedy_binary,0,17
CCCCC1CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,1,8,bnn,mfp,bace,maximize,greedy_binary,0,18
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C(F)F)c2)CC1,0,8,bnn,mfp,bace,maximize,greedy_binary,0,19
COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1F,1,9,bnn,mfp,bace,maximize,greedy_binary,0,20
CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(OC(F)(F)F)c3)C2O)c1,0,9,bnn,mfp,bace,maximize,greedy_binary,0,21
CCC[C@@H]1C(C(C)=O)=C(C)N(CC(=O)OC(C)C)C(C)=C1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]C1CC1,0,9,bnn,mfp,bace,maximize,greedy_binary,0,22
Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cc(C)n1,0,9,bnn,mfp,bace,maximize,greedy_binary,0,23
CCCOc1cccc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)(C)C)c3)C2O)c1,0,9,bnn,mfp,bace,maximize,greedy_binary,0,24
