smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CN1C(=O)C(c2cccc(NC(=O)c3ccco3)c2)(C2CCCCC2)N=C1N,1,1,bnn,mordred,bace,maximize,greedy_binary,0,0
CC(=O)OCCCN1C(C)=C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)[C@H](C)C(C(=O)OCc2ccccc2)=C1C,0,1,bnn,mordred,bace,maximize,greedy_binary,0,1
CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(OCCO)c(N)n2)cc1,0,1,bnn,mordred,bace,maximize,greedy_binary,0,2
CCOc1cccc(C[NH+]2CCC3(CNS(=O)(=O)N3c3cccc(F)c3)CC2C)c1,0,1,bnn,mordred,bace,maximize,greedy_binary,0,3
COc1cccc(-c2cccc([C@]3(C)CC(=O)N(C)C(N)=N3)c2)c1,0,1,bnn,mordred,bace,maximize,greedy_binary,0,4
CCCC(O)C1CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)C1=O,1,2,bnn,mordred,bace,maximize,greedy_binary,0,5
CN(C(=O)CCc1cc2ccccc2nc1N)C1CCCCC1,1,3,bnn,mordred,bace,maximize,greedy_binary,0,6
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C(F)(F)F)CC1,1,4,bnn,mordred,bace,maximize,greedy_binary,0,7
CC(NC(=O)c1cc(COCC([NH3+])(CF)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,4,bnn,mordred,bace,maximize,greedy_binary,0,8
COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cccc(OC(F)(F)F)c3)ccc1O2,0,4,bnn,mordred,bace,maximize,greedy_binary,0,9
NC1=NC2(CCc3ccc(NC(=O)c4ccc(Cl)cn4)cc32)CO1,0,4,bnn,mordred,bace,maximize,greedy_binary,0,10
CC(C)Oc1cccc(C[NH+]2CCC3(CC2C)CN(c2ccncc2)S(=O)(=O)N3c2cccc(F)c2)c1,0,4,bnn,mordred,bace,maximize,greedy_binary,0,11
COC[C@@H](Oc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)(C)C)c3)C2O)cc(F)c1N)C(F)(F)F,1,5,bnn,mordred,bace,maximize,greedy_binary,0,12
CC1CC2(CC[NH+]1Cc1ccc3[nH]ccc3c1)CN(C)S(=O)(=O)N2c1cccc(F)c1,0,5,bnn,mordred,bace,maximize,greedy_binary,0,13
CCC(CC(=O)NC(C)C)n1c(N)nc2cc(Cl)ccc21,0,5,bnn,mordred,bace,maximize,greedy_binary,0,14
CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,1,6,bnn,mordred,bace,maximize,greedy_binary,0,15
COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N3CCCN=C32)cc1,1,7,bnn,mordred,bace,maximize,greedy_binary,0,16
CCCCC1CCN(C(C)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2Cc3ccccc3C[NH2+]2)C1=O,0,7,bnn,mordred,bace,maximize,greedy_binary,0,17
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(C(C)(C)C)cs2)CCCCC1,0,7,bnn,mordred,bace,maximize,greedy_binary,0,18
CN1C(=O)C(c2ccsc2)(c2ccc(F)c(-c3cccnc3F)c2)N=C1N,1,8,bnn,mordred,bace,maximize,greedy_binary,0,19
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OC[C@H]1F,0,8,bnn,mordred,bace,maximize,greedy_binary,0,20
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CC[NH2+]CC1,0,8,bnn,mordred,bace,maximize,greedy_binary,0,21
CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,0,8,bnn,mordred,bace,maximize,greedy_binary,0,22
O=C(C1C[NH2+]CC1c1ccccc1)N1CCC(c2ccccc2)CC1,0,8,bnn,mordred,bace,maximize,greedy_binary,0,23
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCN(C(N)=O)C1,0,8,bnn,mordred,bace,maximize,greedy_binary,0,24
C[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)CCO1,0,8,bnn,mordred,bace,maximize,greedy_binary,0,25
CCCCC1CCN(C(C)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCCC)C[NH2+]2)C1=O,1,9,bnn,mordred,bace,maximize,greedy_binary,0,26
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2ncc(C(C)(C)C)o2)CCCCC1,0,9,bnn,mordred,bace,maximize,greedy_binary,0,27
COc1ccc(CC(NC(C)=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)cc1OC,1,10,bnn,mordred,bace,maximize,greedy_binary,0,28
COc1ccc(C2(c3csc(N)n3)CCCC2)cc1,0,10,bnn,mordred,bace,maximize,greedy_binary,0,29
COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3ccc(Cl)cc3F)ccc1O2,0,10,bnn,mordred,bace,maximize,greedy_binary,0,30
CSc1cccc(-c2ccc(C3CC3c3cc(=O)n(C)c(N)n3)cc2)c1,0,10,bnn,mordred,bace,maximize,greedy_binary,0,31
CCCc1cscc1C[C@H](NC1=[NH+]C(C)(C)Cc2cc(Cl)ccc21)C(=O)[O-],0,10,bnn,mordred,bace,maximize,greedy_binary,0,32
CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc2c1CCCS(=O)(=O)N2C,1,11,bnn,mordred,bace,maximize,greedy_binary,0,33
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(NS(C)(=O)=O)CC1,0,11,bnn,mordred,bace,maximize,greedy_binary,0,34
COc1ccc(C2(c3cccc(-c4cnccc4F)c3)COC(N)=N2)cc1,0,11,bnn,mordred,bace,maximize,greedy_binary,0,35
CO[C@H](C)C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,12,bnn,mordred,bace,maximize,greedy_binary,0,36
CCOc1cccc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,1,13,bnn,mordred,bace,maximize,greedy_binary,0,37
CN1CC(N)=NC(C)(c2cccc(NC(=O)c3ccc(C(F)(F)F)cn3)c2)C1=O,0,13,bnn,mordred,bace,maximize,greedy_binary,0,38
COc1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1,0,13,bnn,mordred,bace,maximize,greedy_binary,0,39
COc1cccc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,1,14,bnn,mordred,bace,maximize,greedy_binary,0,40
O=C(C1C[NH2+]CC1c1ccccc1Br)N1CCOCC1c1ccccc1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,41
CCOc1cccc(-c2ccc(C3CC3c3cc(=O)n(C)c(N)n3)cc2)c1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,42
O=C(NC(Cc1ccccc1)C(O)C[NH2+]Cc1cccc(C(F)(F)F)c1)c1cccc(N2c3ccccc3OS2(=O)=O)c1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,43
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(C)cc(C(C)(C)C)c2)CCCCC1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,44
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)C(C(C)C)=N2)cc1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,45
CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(CS(=O)(=O)c2ccccc2)c1)C(=O)NC1CCCCC1,0,14,bnn,mordred,bace,maximize,greedy_binary,0,46
NC1=[NH+]C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCN21,1,15,bnn,mordred,bace,maximize,greedy_binary,0,47
COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cnn(CC(C)(C)C)c3)C2O)cc(F)c1N)C(F)(F)F,1,16,bnn,mordred,bace,maximize,greedy_binary,0,48
Nc1cccc(Cn2c(-c3ccc(Nc4cncnc4)cc3)ccc2-c2ccccc2Cl)n1,0,16,bnn,mordred,bace,maximize,greedy_binary,0,49
NC1=NC2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)CC2CCS1,0,16,bnn,mordred,bace,maximize,greedy_binary,0,50
CN1C(=O)C2(CC(C)(C)Oc3ccc(C4CCCCC4)cc32)N=C1N,0,16,bnn,mordred,bace,maximize,greedy_binary,0,51
CN1C(=O)CC(C)(C2CC2c2ccccc2)N=C1N,0,16,bnn,mordred,bace,maximize,greedy_binary,0,52
CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C(C)(C)CCCC(C)C)cc13)N(C)S(=O)(=O)C2,1,17,bnn,mordred,bace,maximize,greedy_binary,0,53
