smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,1,1,nn,mfp,bace,maximize,greedy_binary,0,0
COc1cccc(C[NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2cn(C(=O)N(C)CCC(C)C)c3ncccc23)c1,1,2,nn,mfp,bace,maximize,greedy_binary,0,1
COc1ccc(C2(c3cccc(-c4cc(Cl)cc(Cl)c4)c3)N=C(N)N3CCCN=C32)cc1,1,3,nn,mfp,bace,maximize,greedy_binary,0,2
CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2cscc2C2CC2)C(=O)[O-])=N1,0,3,nn,mfp,bace,maximize,greedy_binary,0,3
CN1C(=O)CC(C)([C@H]2C[C@@H]2c2ccccc2)N=C1N,0,3,nn,mfp,bace,maximize,greedy_binary,0,4
COc1ccc(Cc2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N4CCCN=C43)c2)cc1,0,3,nn,mfp,bace,maximize,greedy_binary,0,5
CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,1,4,nn,mfp,bace,maximize,greedy_binary,0,6
NC1=NC(c2ccncc2)(c2cccc(-c3cncc(F)c3)c2)c2cccc(F)c21,0,4,nn,mfp,bace,maximize,greedy_binary,0,7
CC(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(O)cc3)C2O)c1,0,4,nn,mfp,bace,maximize,greedy_binary,0,8
CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(NCCO)c(N)n2)cc1,0,4,nn,mfp,bace,maximize,greedy_binary,0,9
COC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC1CCCCC1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H]1C[C@H](C(=O)N[C@H](C)C2CCCCC2)C[C@@H](NS(C)(=O)=O)C1,0,4,nn,mfp,bace,maximize,greedy_binary,0,10
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCN(C(C)=O)C1,0,4,nn,mfp,bace,maximize,greedy_binary,0,11
CCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,1,5,nn,mfp,bace,maximize,greedy_binary,0,12
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(-c3ccoc3)c2)CCCCC1,0,5,nn,mfp,bace,maximize,greedy_binary,0,13
CCOc1cc(C[NH+]2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)ccc1O,0,5,nn,mfp,bace,maximize,greedy_binary,0,14
COc1ccc([C@@]2(c3cccc(-c4cncnc4)c3)CCC(N)=[NH+]2)cc1,0,5,nn,mfp,bace,maximize,greedy_binary,0,15
CCCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,1,6,nn,mfp,bace,maximize,greedy_binary,0,16
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCC(F)F)c2)N=C1N,1,7,nn,mfp,bace,maximize,greedy_binary,0,17
Nc1nc(CCc2ccc3cc[nH]c3c2)cc(=O)[nH]1,0,7,nn,mfp,bace,maximize,greedy_binary,0,18
CC(=O)N(c1ccccc1)c1cccc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]C(C)C(=O)NC2CCCCC2)c1,0,7,nn,mfp,bace,maximize,greedy_binary,0,19
CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]C2CC2)cc2c1CCCS(=O)(=O)N2C,0,7,nn,mfp,bace,maximize,greedy_binary,0,20
CCn1cc(C2(c3cccc(NC(=O)c4ccccn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,1,8,nn,mfp,bace,maximize,greedy_binary,0,21
CCOC[C@H]1CCCN1C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cccnc21,1,9,nn,mfp,bace,maximize,greedy_binary,0,22
CC(=O)NC(C)(C)C1CCCC(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(C)C)c2)C1,0,9,nn,mfp,bace,maximize,greedy_binary,0,23
CN1C(=O)C(c2ccsc2)(c2cccc(-c3cncnc3)c2)N=C1N,1,10,nn,mfp,bace,maximize,greedy_binary,0,24
Cc1ccc2c(c1)CC(C)(C)N=C2NC(Cc1ccccc1)C(=O)[O-],0,10,nn,mfp,bace,maximize,greedy_binary,0,25
CCc1csc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,0,10,nn,mfp,bace,maximize,greedy_binary,0,26
CC(C)NC(=O)CCCn1c(N)nc2cc(Cl)ccc21,0,10,nn,mfp,bace,maximize,greedy_binary,0,27
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+][C@]1(c2cccc(C(C)(C)C(F)F)c2)C[C@H]1C,0,10,nn,mfp,bace,maximize,greedy_binary,0,28
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(Br)c2)c2cccnc21,1,11,nn,mfp,bace,maximize,greedy_binary,0,29
CC1(c2cc(NC(=O)c3ccn(C(F)F)n3)ccc2F)N=C(N)OCC1(F)F,1,12,nn,mfp,bace,maximize,greedy_binary,0,30
