smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2ccn(CC(C)(C)C)n2)CCCCC1,0,0,sngp,mfp,bace,maximize,greedy_binary,0,0
CCCO/N=C(/C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1,1,1,sngp,mfp,bace,maximize,greedy_binary,0,1
CC(C)(C)c1cccc(C[NH2+]C2CS(=O)CC(Cc3cc(O)c(N)c(F)c3)C2O)c1,0,1,sngp,mfp,bace,maximize,greedy_binary,0,2
CC[C@@H](C)Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,0,1,sngp,mfp,bace,maximize,greedy_binary,0,3
NC1=[NH+]C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCCN21,1,2,sngp,mfp,bace,maximize,greedy_binary,0,4
CC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C(N)c2ccccc21,0,2,sngp,mfp,bace,maximize,greedy_binary,0,5
COc1ccc(C2(c3ccc(C)c(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,0,2,sngp,mfp,bace,maximize,greedy_binary,0,6
CC(=O)NC(C)(C)C1CCCC(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(C)C)c2)C1,0,2,sngp,mfp,bace,maximize,greedy_binary,0,7
COc1cccc(CN2CC(C(=O)NC(Cc3ccccc3)C(O)C[NH2+]Cc3cccc(N(C)C)c3)NC2=O)c1,1,3,sngp,mfp,bace,maximize,greedy_binary,0,8
COc1cncc(-c2cccc(C3(c4ccsc4)N=C(N)N(C)C3=O)c2)c1,1,4,sngp,mfp,bace,maximize,greedy_binary,0,9
COc1cccc(-c2cccc(C3(c4ccncc4)N=C(N)N4CCCN=C43)c2)c1F,1,5,sngp,mfp,bace,maximize,greedy_binary,0,10
CC(C)n1cc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,6,sngp,mfp,bace,maximize,greedy_binary,0,11
CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,1,7,sngp,mfp,bace,maximize,greedy_binary,0,12
COc1ccc([C@H](Cc2cc([N+](=O)[O-])ccc2OC)c2c[nH]c(N)n2)cc1F,0,7,sngp,mfp,bace,maximize,greedy_binary,0,13
CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccsc2Br)C(=O)[O-])=N1,0,7,sngp,mfp,bace,maximize,greedy_binary,0,14
Cc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O,0,7,sngp,mfp,bace,maximize,greedy_binary,0,15
CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,1,8,sngp,mfp,bace,maximize,greedy_binary,0,16
CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(C)N2CCC(C(C)C)C2=O)C1,0,8,sngp,mfp,bace,maximize,greedy_binary,0,17
CCn1cc([C@@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,0,8,sngp,mfp,bace,maximize,greedy_binary,0,18
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2C[NH2+]CC[NH2+]2)c1,0,8,sngp,mfp,bace,maximize,greedy_binary,0,19
CCCN(CC1CC1)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cccnc21,0,8,sngp,mfp,bace,maximize,greedy_binary,0,20
CC(C)c1cccc(C[NH2+]CC(O)C2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1,1,9,sngp,mfp,bace,maximize,greedy_binary,0,21
CCCN(CCC)C(=O)c1cc(C(C)=O)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1,10,sngp,mfp,bace,maximize,greedy_binary,0,22
COc1ccc(C2(c3cccc(Br)c3)N=C(N)N3CC(F)(F)CN=C32)cc1,0,10,sngp,mfp,bace,maximize,greedy_binary,0,23
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCF)c2)N=C1N,0,10,sngp,mfp,bace,maximize,greedy_binary,0,24
C#Cc1ccc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)nc1,1,11,sngp,mfp,bace,maximize,greedy_binary,0,25
Cc1cc2cc(c1)C(=O)N[C@H](c1ccccc1)C/C=C/COCC(C(O)C[NH2+]Cc1cccc(C(C)C)c1)NC2=O,0,11,sngp,mfp,bace,maximize,greedy_binary,0,26
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(-c3cccs3)c2)CCCCC1,0,11,sngp,mfp,bace,maximize,greedy_binary,0,27
C=CCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,1,12,sngp,mfp,bace,maximize,greedy_binary,0,28
CCn1ccc2c(N3CCCC3=O)cc(C(=O)N[C@@H](CC3=CC=CCC3)[C@H](O)C[NH2+]Cc3cccc(OC)c3)cc21,1,13,sngp,mfp,bace,maximize,greedy_binary,0,29
CN(C(=O)CCN1Cc2cc(C(=O)c3ccccc3)ccc2[NH+]=C1N)C1CCCCC1,1,14,sngp,mfp,bace,maximize,greedy_binary,0,30
COc1ccc(C2(c3cccc(-c4cnccc4F)c3)COC(N)=N2)cc1,0,14,sngp,mfp,bace,maximize,greedy_binary,0,31
CC1(c2cccc(NC(=O)c3ccccn3)c2)CSC(N)=N1,0,14,sngp,mfp,bace,maximize,greedy_binary,0,32
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)cc2c1CCCS(=O)(=O)N2C,1,15,sngp,mfp,bace,maximize,greedy_binary,0,33
COc1ccc(C2(c3cccc(-c4cncnc4)c3)COC(N)=N2)cc1,0,15,sngp,mfp,bace,maximize,greedy_binary,0,34
COCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cccnc21,1,16,sngp,mfp,bace,maximize,greedy_binary,0,35
Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccccc2)n1,0,16,sngp,mfp,bace,maximize,greedy_binary,0,36
CCCc1n[nH]c2ccc(CC3CS(=O)(=O)CC([NH2+]Cc4cccc(C(C)(C)C)c4)C3O)cc12,0,16,sngp,mfp,bace,maximize,greedy_binary,0,37
COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCC(C)C)cc(N(C)S(C)(=O)=O)c2)c1,0,16,sngp,mfp,bace,maximize,greedy_binary,0,38
CS(=O)(=O)N(c1ccncc1)c1cccc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)c1,0,16,sngp,mfp,bace,maximize,greedy_binary,0,39
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C(F)(F)F)CC1,1,17,sngp,mfp,bace,maximize,greedy_binary,0,40
CC(NC(=O)c1cc(-c2noc(C(C)([NH3+])Cc3ccccc3)n2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,17,sngp,mfp,bace,maximize,greedy_binary,0,41
COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,1,18,sngp,mfp,bace,maximize,greedy_binary,0,42
C[C@@H](O)C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,1,19,sngp,mfp,bace,maximize,greedy_binary,0,43
CN1C(=O)[C@@](c2ccc(OCCF)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,1,20,sngp,mfp,bace,maximize,greedy_binary,0,44
NC1=NC(c2ccc(OC(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCC(F)(F)CN12,1,21,sngp,mfp,bace,maximize,greedy_binary,0,45
CCOC(C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,22,sngp,mfp,bace,maximize,greedy_binary,0,46
CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc(C#N)c(=O)[nH]2)=[NH+]1,0,22,sngp,mfp,bace,maximize,greedy_binary,0,47
NC1=[NH+][C@](c2ccnc(C(F)(F)F)c2)(c2ccc(F)c(-c3cncnc3)c2)c2cccc(F)c21,0,22,sngp,mfp,bace,maximize,greedy_binary,0,48
CCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,1,23,sngp,mfp,bace,maximize,greedy_binary,0,49
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccc(F)cc21,1,24,sngp,mfp,bace,maximize,greedy_binary,0,50
COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(C(C)(C)CO)c3)C2O)cc(F)c1N)C(F)(F)F,1,25,sngp,mfp,bace,maximize,greedy_binary,0,51
CN1C(=O)C2(CC(C)(C)Cc3ccc(-c4cc(F)cc(Cl)c4)cc32)N=C1N,1,26,sngp,mfp,bace,maximize,greedy_binary,0,52
COCCOC[C@@H](Oc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)(C)C)c3)C2O)cc(F)c1N)C(F)(F)F,1,27,sngp,mfp,bace,maximize,greedy_binary,0,53
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(-n3cccn3)c2)CCOCC1,0,27,sngp,mfp,bace,maximize,greedy_binary,0,54
CCC(C)C1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2Cc3ccccc3C[NH2+]2)C1=O,1,28,sngp,mfp,bace,maximize,greedy_binary,0,55
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+][C@H]1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,1,29,sngp,mfp,bace,maximize,greedy_binary,0,56
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)c1,1,30,sngp,mfp,bace,maximize,greedy_binary,0,57
CS(=O)(=O)N(c1cccc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)c1)c1ccccn1,0,30,sngp,mfp,bace,maximize,greedy_binary,0,58
COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N/OCC(C)C)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,0,30,sngp,mfp,bace,maximize,greedy_binary,0,59
CC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C(N)CNC1=O,0,30,sngp,mfp,bace,maximize,greedy_binary,0,60
COC(Cc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)(C)C)c3)C2O)cc(F)c1N)C(F)(F)F,1,31,sngp,mfp,bace,maximize,greedy_binary,0,61
NC1=[NH+][C@](c2ccc(OC(F)(F)F)cc2)(c2cccc(Br)c2)C2=NCCCN21,0,31,sngp,mfp,bace,maximize,greedy_binary,0,62
COc1ccc(C2(c3csc(N)n3)CCCC2)cc1,0,31,sngp,mfp,bace,maximize,greedy_binary,0,63
N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)OCC3(F)F)c2)nc1,1,32,sngp,mfp,bace,maximize,greedy_binary,0,64
Cn1c(N)nc(C2CC2c2ccc(-c3ccco3)cc2)cc1=O,0,32,sngp,mfp,bace,maximize,greedy_binary,0,65
CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCCO3)N=C1N,1,33,sngp,mfp,bace,maximize,greedy_binary,0,66
CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cc(Cl)ccc4F)cc32)N=C1N,1,34,sngp,mfp,bace,maximize,greedy_binary,0,67
CCn1cc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,1,35,sngp,mfp,bace,maximize,greedy_binary,0,68
CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3cc(F)c(N)c(C4CC4)c3)C2O)c1,1,36,sngp,mfp,bace,maximize,greedy_binary,0,69
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2nc(CC(C)(C)C)cs2)CC1,0,36,sngp,mfp,bace,maximize,greedy_binary,0,70
CC(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,1,37,sngp,mfp,bace,maximize,greedy_binary,0,71
CN1C(=O)CC(C)(CCc2cccc(-c3ccccc3)c2)N=C1N,0,37,sngp,mfp,bace,maximize,greedy_binary,0,72
CCCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,1,38,sngp,mfp,bace,maximize,greedy_binary,0,73
CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]C2CC2)cc2c1CCCS(=O)(=O)N2C,0,38,sngp,mfp,bace,maximize,greedy_binary,0,74
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(CC(C)(C)C)c2)CC1,0,38,sngp,mfp,bace,maximize,greedy_binary,0,75
CC1(C)Cc2ccc(-c3cncc(Cl)c3)cc2C2(CSC(N)=N2)C1,0,38,sngp,mfp,bace,maximize,greedy_binary,0,76
COCC(=O)NC(Cc1cccc(-c2cscn2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,39,sngp,mfp,bace,maximize,greedy_binary,0,77
CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(C[C@H](O)C(F)(F)F)c3)[C@@H]2O)c1,1,40,sngp,mfp,bace,maximize,greedy_binary,0,78
CC1(C)CN2C(=N1)[C@@](c1ccc(OC(F)(F)F)cc1)(c1cccc(-c3cccnc3F)c1)[NH+]=C2N,0,40,sngp,mfp,bace,maximize,greedy_binary,0,79
COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,1,41,sngp,mfp,bace,maximize,greedy_binary,0,80
NC1=[NH+]C(c2ccccc2)(c2cccc(Cc3ccc(F)cc3)c2)C2=NCCCN21,0,41,sngp,mfp,bace,maximize,greedy_binary,0,81
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(N3CC4CCC3C4)c2)CC1,0,41,sngp,mfp,bace,maximize,greedy_binary,0,82
COc1cccc(-c2cccc(C3(C4CCN(C(C)=O)CC4)N=C(C)C(N)=N3)c2)c1,0,41,sngp,mfp,bace,maximize,greedy_binary,0,83
CC1CC2(CC[NH+]1Cc1cccc(-c3ccccc3Cl)c1)CNS(=O)(=O)N2c1cccc(F)c1,0,41,sngp,mfp,bace,maximize,greedy_binary,0,84
Cc1cc(C2(c3cccc(C#CC4CC4)c3)N=C(N)c3c(F)cccc32)cn(C)c1=O,1,42,sngp,mfp,bace,maximize,greedy_binary,0,85
CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)[C@H](O)C[NH2+]CC4CCOCC4)cc13)OS(=O)(=O)CC2,1,43,sngp,mfp,bace,maximize,greedy_binary,0,86
CCC[N@H+]1CCC[C@@]12CCN([C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]Cc1cccc(C(C)C)c1)C2=O,1,44,sngp,mfp,bace,maximize,greedy_binary,0,87
C/C=C(\C)c1cccc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,0,44,sngp,mfp,bace,maximize,greedy_binary,0,88
CCn1ccc2c(N3CCCC3=O)cc(C(=O)NC(Cc3ccccc3)C(O)C[NH2+]C(C)(C)c3cccc(OC)c3)cc21,0,44,sngp,mfp,bace,maximize,greedy_binary,0,89
Nc1nc(C2(c3ccc(Cl)cc3)CCCC2)cs1,0,44,sngp,mfp,bace,maximize,greedy_binary,0,90
COC(COCC1CC1)CC(O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,0,44,sngp,mfp,bace,maximize,greedy_binary,0,91
CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(F)c4)cc32)N=C1N,1,45,sngp,mfp,bace,maximize,greedy_binary,0,92
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(C(F)(F)F)ccc21,0,45,sngp,mfp,bace,maximize,greedy_binary,0,93
CC1(C)Cc2ccc(-c3cccnc3F)cc2C2(COC(N)=N2)C1,0,45,sngp,mfp,bace,maximize,greedy_binary,0,94
NC1=[NH+][C@@](c2cccc(-c3cccnc3F)c2)(c2ccc3c(c2)OC(F)(F)O3)C2=NCCCN21,0,45,sngp,mfp,bace,maximize,greedy_binary,0,95
CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(OC(F)(F)F)c3)C2O)c1,0,45,sngp,mfp,bace,maximize,greedy_binary,0,96
