smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccccc2[C@H]1CN1CCCC1,1,1,gp,mfp,bbbp,maximize,greedy_binary,0,0
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1,0,1,gp,mfp,bbbp,maximize,greedy_binary,0,1
Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O,1,2,gp,mfp,bbbp,maximize,greedy_binary,0,2
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1,3,gp,mfp,bbbp,maximize,greedy_binary,0,3
CC(=O)OCC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,4,gp,mfp,bbbp,maximize,greedy_binary,0,4
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,1,5,gp,mfp,bbbp,maximize,greedy_binary,0,5
C=COC=C,1,6,gp,mfp,bbbp,maximize,greedy_binary,0,6
CN1C(=O)CCC1c1cccnc1,1,7,gp,mfp,bbbp,maximize,greedy_binary,0,7
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC1CCCC1,1,8,gp,mfp,bbbp,maximize,greedy_binary,0,8
CNCCC=C1c2ccccc2CCc2ccccc21,1,9,gp,mfp,bbbp,maximize,greedy_binary,0,9
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,10,gp,mfp,bbbp,maximize,greedy_binary,0,10
CNCC[C@@H](O)[C@@H]1C[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CN1,0,10,gp,mfp,bbbp,maximize,greedy_binary,0,11
CNCCC(Oc1ccccc1OC)c1ccccc1,1,11,gp,mfp,bbbp,maximize,greedy_binary,0,12
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,12,gp,mfp,bbbp,maximize,greedy_binary,0,13
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,12,gp,mfp,bbbp,maximize,greedy_binary,0,14
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0,12,gp,mfp,bbbp,maximize,greedy_binary,0,15
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OC)[C@H](C)[C@@H](O)[C@]1(C)O,0,12,gp,mfp,bbbp,maximize,greedy_binary,0,16
CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,0,12,gp,mfp,bbbp,maximize,greedy_binary,0,17
CN(C)CCCN1c2ccccc2C=Cc2sccc21,1,13,gp,mfp,bbbp,maximize,greedy_binary,0,18
O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1,1,14,gp,mfp,bbbp,maximize,greedy_binary,0,19
CCOC(=O)N(CCN(C)C)c1cccc(C(F)(F)F)c1,1,15,gp,mfp,bbbp,maximize,greedy_binary,0,20
CCOC(=O)c1cncn1C(C)c1ccc(F)cc1,1,16,gp,mfp,bbbp,maximize,greedy_binary,0,21
COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,1,17,gp,mfp,bbbp,maximize,greedy_binary,0,22
CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,1,18,gp,mfp,bbbp,maximize,greedy_binary,0,23
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,1,19,gp,mfp,bbbp,maximize,greedy_binary,0,24
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1,20,gp,mfp,bbbp,maximize,greedy_binary,0,25
CN(C)CCC1(C)OCCC2=C1c1ccccc1C2,1,21,gp,mfp,bbbp,maximize,greedy_binary,0,26
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,0,21,gp,mfp,bbbp,maximize,greedy_binary,0,27
COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0,21,gp,mfp,bbbp,maximize,greedy_binary,0,28
CCCC1(C)COB(c2ccc(C)cc2)OC1,1,22,gp,mfp,bbbp,maximize,greedy_binary,0,29
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1,1,23,gp,mfp,bbbp,maximize,greedy_binary,0,30
CCCCCCCCCC1(C)OCC(COC(N)=O)O1,1,24,gp,mfp,bbbp,maximize,greedy_binary,0,31
CCO[C@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)C[C@@H](N(C)C)[C@@H]32)C[C@@H]1O,1,25,gp,mfp,bbbp,maximize,greedy_binary,0,32
CNCCCN1c2ccccc2Sc2ccccc21,1,26,gp,mfp,bbbp,maximize,greedy_binary,0,33
