smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5,1,1,gp,mordred,bbbp,maximize,greedy_binary,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0,1,gp,mordred,bbbp,maximize,greedy_binary,0,1
NC(=O)CN1Cc2ccccc2OC1=O,1,2,gp,mordred,bbbp,maximize,greedy_binary,0,2
COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4OC)CC3)c2cc1OC,1,3,gp,mordred,bbbp,maximize,greedy_binary,0,3
O=C1NC(=O)C2(CCc3ccccc3C2)N1,1,4,gp,mordred,bbbp,maximize,greedy_binary,0,4
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1,5,gp,mordred,bbbp,maximize,greedy_binary,0,5
Cn1c(=O)[nH]c2ncn(C)c2c1=O,1,6,gp,mordred,bbbp,maximize,greedy_binary,0,6
CC(C)=O,1,7,gp,mordred,bbbp,maximize,greedy_binary,0,7
COc1ccc2c(C3CCN(CCCC(=O)c4ccc(F)cc4)CC3)c(C)[nH]c2c1,1,8,gp,mordred,bbbp,maximize,greedy_binary,0,8
CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,0,8,gp,mordred,bbbp,maximize,greedy_binary,0,9
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,1,9,gp,mordred,bbbp,maximize,greedy_binary,0,10
O=c1ncnc2[nH][nH]cc1-2,0,9,gp,mordred,bbbp,maximize,greedy_binary,0,11
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N=Cc3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0,9,gp,mordred,bbbp,maximize,greedy_binary,0,12
CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,1,10,gp,mordred,bbbp,maximize,greedy_binary,0,13
O=C(Cn1cnnn1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CS[C@H]12,0,10,gp,mordred,bbbp,maximize,greedy_binary,0,14
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1,11,gp,mordred,bbbp,maximize,greedy_binary,0,15
CN1C(=O)CCC1c1cccnc1,1,12,gp,mordred,bbbp,maximize,greedy_binary,0,16
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)C[C@@H]1CN1CC[C@@H](O)C1,0,12,gp,mordred,bbbp,maximize,greedy_binary,0,17
CC1(C)O[C@@H]2C[C@H]3C4CCC5CC(=O)CCC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1,1,13,gp,mordred,bbbp,maximize,greedy_binary,0,18
