smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,1,ngboost,mfp,bbbp,maximize,greedy_binary,0,0
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1,2,ngboost,mfp,bbbp,maximize,greedy_binary,0,1
COc1cc(C(=O)N2CCCCCCC2)cc(OC)c1OC,1,3,ngboost,mfp,bbbp,maximize,greedy_binary,0,2
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,3,ngboost,mfp,bbbp,maximize,greedy_binary,0,3
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0,3,ngboost,mfp,bbbp,maximize,greedy_binary,0,4
COCc1c(C(=O)OC(C)C)ncc2[nH]c3cccc(Oc4ccc(Cl)cc4)c3c12,1,4,ngboost,mfp,bbbp,maximize,greedy_binary,0,5
O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,0,4,ngboost,mfp,bbbp,maximize,greedy_binary,0,6
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,0,4,ngboost,mfp,bbbp,maximize,greedy_binary,0,7
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0,4,ngboost,mfp,bbbp,maximize,greedy_binary,0,8
CCCC(O)Cl,1,5,ngboost,mfp,bbbp,maximize,greedy_binary,0,9
CC(=O)NCCn1c(C)cc(C=O)c1C,1,6,ngboost,mfp,bbbp,maximize,greedy_binary,0,10
CCCC(CCC)(CCC)C(N)=O,1,7,ngboost,mfp,bbbp,maximize,greedy_binary,0,11
CC(C)C(O)C1CCCCC1,1,8,ngboost,mfp,bbbp,maximize,greedy_binary,0,12
CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,9,ngboost,mfp,bbbp,maximize,greedy_binary,0,13
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,1,10,ngboost,mfp,bbbp,maximize,greedy_binary,0,14
CC(Cc1ccccc1)[N+](C)([O-])Cc1ccccc1,1,11,ngboost,mfp,bbbp,maximize,greedy_binary,0,15
N#Cc1ccc2c(c1)C1=C(CCN(CC3CCCC3)CC1)c1ccccc1O2,1,12,ngboost,mfp,bbbp,maximize,greedy_binary,0,16
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,1,13,ngboost,mfp,bbbp,maximize,greedy_binary,0,17
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,1,14,ngboost,mfp,bbbp,maximize,greedy_binary,0,18
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0,14,ngboost,mfp,bbbp,maximize,greedy_binary,0,19
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,1,15,ngboost,mfp,bbbp,maximize,greedy_binary,0,20
CC(C)(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0,15,ngboost,mfp,bbbp,maximize,greedy_binary,0,21
CNC(C)C(O)c1ccc(O)cc1,0,15,ngboost,mfp,bbbp,maximize,greedy_binary,0,22
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1,16,ngboost,mfp,bbbp,maximize,greedy_binary,0,23
CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1,17,ngboost,mfp,bbbp,maximize,greedy_binary,0,24
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,18,ngboost,mfp,bbbp,maximize,greedy_binary,0,25
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0,18,ngboost,mfp,bbbp,maximize,greedy_binary,0,26
CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,1,19,ngboost,mfp,bbbp,maximize,greedy_binary,0,27
CP(C)(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,20,ngboost,mfp,bbbp,maximize,greedy_binary,0,28
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,0,20,ngboost,mfp,bbbp,maximize,greedy_binary,0,29
CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,1,21,ngboost,mfp,bbbp,maximize,greedy_binary,0,30
