smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1,1,ngboost,mordred,bbbp,maximize,greedy_binary,0,0
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,1,2,ngboost,mordred,bbbp,maximize,greedy_binary,0,1
CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C,1,3,ngboost,mordred,bbbp,maximize,greedy_binary,0,2
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,4,ngboost,mordred,bbbp,maximize,greedy_binary,0,3
CCCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@@]21C,1,5,ngboost,mordred,bbbp,maximize,greedy_binary,0,4
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,1,6,ngboost,mordred,bbbp,maximize,greedy_binary,0,5
CC1(C)NC(=O)C(/C=C/c2ccccc2)O1,1,7,ngboost,mordred,bbbp,maximize,greedy_binary,0,6
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0,7,ngboost,mordred,bbbp,maximize,greedy_binary,0,7
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)[C@@]3(F)C(O)CC12C,1,8,ngboost,mordred,bbbp,maximize,greedy_binary,0,8
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1,9,ngboost,mordred,bbbp,maximize,greedy_binary,0,9
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,1,10,ngboost,mordred,bbbp,maximize,greedy_binary,0,10
O=C(O)C1CCN1C12CC3CC(CC(C3)C1)C2,1,11,ngboost,mordred,bbbp,maximize,greedy_binary,0,11
COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0,11,ngboost,mordred,bbbp,maximize,greedy_binary,0,12
CN(C)CC(=O)N1c2ccccc2Sc2ccccc21,1,12,ngboost,mordred,bbbp,maximize,greedy_binary,0,13
NCCCN1c2ccccc2CCc2ccccc21,1,13,ngboost,mordred,bbbp,maximize,greedy_binary,0,14
CC(=O)OCC1=CO[C@@H](OC(=O)CC(C)C)[C@H]2C1=C[C@H](OC(=O)CC(C)(C)OC(C)=O)[C@]21CO1,1,14,ngboost,mordred,bbbp,maximize,greedy_binary,0,15
CN(C)CC1=Cc2ccccc2Sc2ccccc21,1,15,ngboost,mordred,bbbp,maximize,greedy_binary,0,16
CSc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1,0,15,ngboost,mordred,bbbp,maximize,greedy_binary,0,17
C=C1c2ccccc2CN(CCCN(C)C)c2ccccc21,1,16,ngboost,mordred,bbbp,maximize,greedy_binary,0,18
O=C1CCC2CCC(=O)N12,1,17,ngboost,mordred,bbbp,maximize,greedy_binary,0,19
COc1cc2c(c(CN[C@@H]3CCCN[C@H]3c3ccccc3)c1)OCC2,1,18,ngboost,mordred,bbbp,maximize,greedy_binary,0,20
CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O,1,19,ngboost,mordred,bbbp,maximize,greedy_binary,0,21
CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,20,ngboost,mordred,bbbp,maximize,greedy_binary,0,22
C[C@H](N)Cc1ccccc1,1,21,ngboost,mordred,bbbp,maximize,greedy_binary,0,23
OCC1(CO)COC(C(Cl)(Cl)Cl)OC1,1,22,ngboost,mordred,bbbp,maximize,greedy_binary,0,24
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0,22,ngboost,mordred,bbbp,maximize,greedy_binary,0,25
COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1,1,23,ngboost,mordred,bbbp,maximize,greedy_binary,0,26
CC(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,1,24,ngboost,mordred,bbbp,maximize,greedy_binary,0,27
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1,25,ngboost,mordred,bbbp,maximize,greedy_binary,0,28
Nc1ccc(N=Nc2ccccc2)c(N)n1,0,25,ngboost,mordred,bbbp,maximize,greedy_binary,0,29
N#Cc1ccc2c(c1)C1=C(CCN(CC3CCCC3)CC1)c1ccccc1O2,1,26,ngboost,mordred,bbbp,maximize,greedy_binary,0,30
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1,27,ngboost,mordred,bbbp,maximize,greedy_binary,0,31
CCC(C)CC,1,28,ngboost,mordred,bbbp,maximize,greedy_binary,0,32
CCC1(CC)C(=O)NC(=O)N(c2ccccc2)C1=O,1,29,ngboost,mordred,bbbp,maximize,greedy_binary,0,33
CN(C)CCCN1c2ccccc2C=Cc2sccc21,1,30,ngboost,mordred,bbbp,maximize,greedy_binary,0,34
CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,0,30,ngboost,mordred,bbbp,maximize,greedy_binary,0,35
C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,0,30,ngboost,mordred,bbbp,maximize,greedy_binary,0,36
C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1,1,31,ngboost,mordred,bbbp,maximize,greedy_binary,0,37
CC(C)NNC(=O)COc1ccc(Cl)cc1,1,32,ngboost,mordred,bbbp,maximize,greedy_binary,0,38
c1ccc(CC2NCCc3c2[nH]c2ccccc32)cc1,1,33,ngboost,mordred,bbbp,maximize,greedy_binary,0,39
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,34,ngboost,mordred,bbbp,maximize,greedy_binary,0,40
CNC(=O)O[C@H]1OC(=O)[C@]2(C)[C@@H]3C=C[C@@H](C3)[C@H]12,1,35,ngboost,mordred,bbbp,maximize,greedy_binary,0,41
CC(C)(C)C(=O)NCCCC(=O)O,1,36,ngboost,mordred,bbbp,maximize,greedy_binary,0,42
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,37,ngboost,mordred,bbbp,maximize,greedy_binary,0,43
O=C(CCCN1CC2CCC(CC2)C1)c1ccc(F)cc1,1,38,ngboost,mordred,bbbp,maximize,greedy_binary,0,44
NC(N)=NCCN1CCCCCCC1,0,38,ngboost,mordred,bbbp,maximize,greedy_binary,0,45
CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21,1,39,ngboost,mordred,bbbp,maximize,greedy_binary,0,46
CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,0,39,ngboost,mordred,bbbp,maximize,greedy_binary,0,47
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1,40,ngboost,mordred,bbbp,maximize,greedy_binary,0,48
CC(=O)OC1/C=C/C(C)=C/CC(O)/C=C/C(C)=C/C(NC(=O)C(C)=O)C2(C)C(=O)OC(C1)C(C)C2=O,0,40,ngboost,mordred,bbbp,maximize,greedy_binary,0,49
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0,40,ngboost,mordred,bbbp,maximize,greedy_binary,0,50
CN[C@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0,40,ngboost,mordred,bbbp,maximize,greedy_binary,0,51
OC(C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1,1,41,ngboost,mordred,bbbp,maximize,greedy_binary,0,52
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,1,42,ngboost,mordred,bbbp,maximize,greedy_binary,0,53
CNCC(O)c1ccc(O)c(O)c1,0,42,ngboost,mordred,bbbp,maximize,greedy_binary,0,54
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0,42,ngboost,mordred,bbbp,maximize,greedy_binary,0,55
CCC(Br)(C(N)=O)C(C)C,1,43,ngboost,mordred,bbbp,maximize,greedy_binary,0,56
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0,43,ngboost,mordred,bbbp,maximize,greedy_binary,0,57
CCC[C@@](C)(O)[C@H]1CC23C=CC1(OC)[C@H]1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5,1,44,ngboost,mordred,bbbp,maximize,greedy_binary,0,58
CNCCON=c1c2ccccc2ccc2ccccc12,1,45,ngboost,mordred,bbbp,maximize,greedy_binary,0,59
CC(NN)c1ccccc1,1,46,ngboost,mordred,bbbp,maximize,greedy_binary,0,60
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,1,47,ngboost,mordred,bbbp,maximize,greedy_binary,0,61
CN(C)C1C(=O)/C(=C(/O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0,47,ngboost,mordred,bbbp,maximize,greedy_binary,0,62
Fc1ccc2[nH]c3c(c2c1)CN(CCCc1cccnc1)CC3,1,48,ngboost,mordred,bbbp,maximize,greedy_binary,0,63
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1,49,ngboost,mordred,bbbp,maximize,greedy_binary,0,64
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0,49,ngboost,mordred,bbbp,maximize,greedy_binary,0,65
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,0,49,ngboost,mordred,bbbp,maximize,greedy_binary,0,66
O=C(NCc1ccccc1)OCCO,1,50,ngboost,mordred,bbbp,maximize,greedy_binary,0,67
CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,51,ngboost,mordred,bbbp,maximize,greedy_binary,0,68
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC)C1OC,1,52,ngboost,mordred,bbbp,maximize,greedy_binary,0,69
CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O,1,53,ngboost,mordred,bbbp,maximize,greedy_binary,0,70
CC(Cc1ccccc1)NN,1,54,ngboost,mordred,bbbp,maximize,greedy_binary,0,71
COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,1,55,ngboost,mordred,bbbp,maximize,greedy_binary,0,72
CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,56,ngboost,mordred,bbbp,maximize,greedy_binary,0,73
CNC[C@H](O)CC12CCC(c3ccccc31)c1ccccc12,1,57,ngboost,mordred,bbbp,maximize,greedy_binary,0,74
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,0,57,ngboost,mordred,bbbp,maximize,greedy_binary,0,75
CCCCOC(=O)C(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1,58,ngboost,mordred,bbbp,maximize,greedy_binary,0,76
CN(C)C1CCc2[nH]c3c(F)cc(F)cc3c2C1,1,59,ngboost,mordred,bbbp,maximize,greedy_binary,0,77
CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,1,60,ngboost,mordred,bbbp,maximize,greedy_binary,0,78
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,61,ngboost,mordred,bbbp,maximize,greedy_binary,0,79
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,62,ngboost,mordred,bbbp,maximize,greedy_binary,0,80
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1,0,62,ngboost,mordred,bbbp,maximize,greedy_binary,0,81
O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1,1,63,ngboost,mordred,bbbp,maximize,greedy_binary,0,82
CCC1(C)CC(=O)NC(=O)C1,1,64,ngboost,mordred,bbbp,maximize,greedy_binary,0,83
CN(C)CCCn1c(=O)n(-c2ccccc2)c2cc(Cl)ccc21,1,65,ngboost,mordred,bbbp,maximize,greedy_binary,0,84
CCCNC(=O)c1ccc2c(c1)N([C@@H](C)CN1CCCC1)c1ccccc1S2,1,66,ngboost,mordred,bbbp,maximize,greedy_binary,0,85
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0,66,ngboost,mordred,bbbp,maximize,greedy_binary,0,86
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,1,67,ngboost,mordred,bbbp,maximize,greedy_binary,0,87
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3ncn[nH]3)CS[C@H]12,0,67,ngboost,mordred,bbbp,maximize,greedy_binary,0,88
CNC1Cc2ccccc2N(C)c2ccccc21,1,68,ngboost,mordred,bbbp,maximize,greedy_binary,0,89
COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2,1,69,ngboost,mordred,bbbp,maximize,greedy_binary,0,90
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0,69,ngboost,mordred,bbbp,maximize,greedy_binary,0,91
CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,1,70,ngboost,mordred,bbbp,maximize,greedy_binary,0,92
CCCCCN[C@@]12C=CC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(C)[C@@H]2C5,1,71,ngboost,mordred,bbbp,maximize,greedy_binary,0,93
O=C(CCCl)NCc1ccccc1,1,72,ngboost,mordred,bbbp,maximize,greedy_binary,0,94
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,0,72,ngboost,mordred,bbbp,maximize,greedy_binary,0,95
CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0,72,ngboost,mordred,bbbp,maximize,greedy_binary,0,96
O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,1,73,ngboost,mordred,bbbp,maximize,greedy_binary,0,97
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,73,ngboost,mordred,bbbp,maximize,greedy_binary,0,98
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21,1,74,ngboost,mordred,bbbp,maximize,greedy_binary,0,99
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0,74,ngboost,mordred,bbbp,maximize,greedy_binary,0,100
