smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-3.168,-3.168,bnn,mfp,delaney,minimize,ucb,0,0
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,-6.01,bnn,mfp,delaney,minimize,ucb,0,1
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16,-6.01,bnn,mfp,delaney,minimize,ucb,0,2
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76,-6.01,bnn,mfp,delaney,minimize,ucb,0,3
CN(C)C(=O)Nc1ccccc1,-1.6,-6.01,bnn,mfp,delaney,minimize,ucb,0,4
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,-6.01,bnn,mfp,delaney,minimize,ucb,0,5
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.754,-6.01,bnn,mfp,delaney,minimize,ucb,0,6
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,-6.01,bnn,mfp,delaney,minimize,ucb,0,7
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-3.1,-6.01,bnn,mfp,delaney,minimize,ucb,0,8
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,-7.11,bnn,mfp,delaney,minimize,ucb,0,9
O=[N+]([O-])c1cccc(Cl)c1,-2.77,-7.11,bnn,mfp,delaney,minimize,ucb,0,10
CCCCCCC(=O)OCC,-2.74,-7.11,bnn,mfp,delaney,minimize,ucb,0,11
CCO,1.1,-7.11,bnn,mfp,delaney,minimize,ucb,0,12
NC(=O)NCc1ccccc1,-0.95,-7.11,bnn,mfp,delaney,minimize,ucb,0,13
COC(=O)c1ccccc1,-1.85,-7.11,bnn,mfp,delaney,minimize,ucb,0,14
Cc1ccc([N+](=O)[O-])cc1,-2.49,-7.11,bnn,mfp,delaney,minimize,ucb,0,15
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6,-11.6,bnn,mfp,delaney,minimize,ucb,0,16
Cc1cccc(N)c1,-0.85,-11.6,bnn,mfp,delaney,minimize,ucb,0,17
CCC#CCC,-1.99,-11.6,bnn,mfp,delaney,minimize,ucb,0,18
CCCCOCCO,-0.42,-11.6,bnn,mfp,delaney,minimize,ucb,0,19
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.594,-11.6,bnn,mfp,delaney,minimize,ucb,0,20
C=CCCCO,-0.15,-11.6,bnn,mfp,delaney,minimize,ucb,0,21
Nc1ccccc1Cl,-1.52,-11.6,bnn,mfp,delaney,minimize,ucb,0,22
O=C(Nc1ccccc1)c1ccccc1I,-4.21,-11.6,bnn,mfp,delaney,minimize,ucb,0,23
CNC(=O)C=C(C)OP(=O)(OC)OC,0.651,-11.6,bnn,mfp,delaney,minimize,ucb,0,24
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,-11.6,bnn,mfp,delaney,minimize,ucb,0,25
CCCc1ccccc1,-3.37,-11.6,bnn,mfp,delaney,minimize,ucb,0,26
O=[N+]([O-])c1ccc(C=NO)o1,-2.19,-11.6,bnn,mfp,delaney,minimize,ucb,0,27
Oc1ccccc1O,0.62,-11.6,bnn,mfp,delaney,minimize,ucb,0,28
Cc1ccnc(C)c1,0.38,-11.6,bnn,mfp,delaney,minimize,ucb,0,29
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,-11.6,bnn,mfp,delaney,minimize,ucb,0,30
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-11.6,bnn,mfp,delaney,minimize,ucb,0,31
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24,-11.6,bnn,mfp,delaney,minimize,ucb,0,32
CC1CCCC1,-3.3,-11.6,bnn,mfp,delaney,minimize,ucb,0,33
CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86,-11.6,bnn,mfp,delaney,minimize,ucb,0,34
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,-11.6,bnn,mfp,delaney,minimize,ucb,0,35
c1ccc(C2CO2)cc1,-1.6,-11.6,bnn,mfp,delaney,minimize,ucb,0,36
CC(C)I,-2.09,-11.6,bnn,mfp,delaney,minimize,ucb,0,37
O=[N+]([O-])c1ccc(Cl)cc1,-2.92,-11.6,bnn,mfp,delaney,minimize,ucb,0,38
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,-11.6,bnn,mfp,delaney,minimize,ucb,0,39
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,-11.6,bnn,mfp,delaney,minimize,ucb,0,40
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.953,-11.6,bnn,mfp,delaney,minimize,ucb,0,41
CCCCCCCC,-5.24,-11.6,bnn,mfp,delaney,minimize,ucb,0,42
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,-11.6,bnn,mfp,delaney,minimize,ucb,0,43
