smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41,-5.41,bnn,mordred,delaney,minimize,ucb,0,0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,-6.49,bnn,mordred,delaney,minimize,ucb,0,1
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,-6.49,bnn,mordred,delaney,minimize,ucb,0,2
Clc1cccc(Cl)c1,-3.04,-6.49,bnn,mordred,delaney,minimize,ucb,0,3
Oc1ccccc1Cl,-1.06,-6.49,bnn,mordred,delaney,minimize,ucb,0,4
C#CCC,-1.24,-6.49,bnn,mordred,delaney,minimize,ucb,0,5
COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1,-2.943,-6.49,bnn,mordred,delaney,minimize,ucb,0,6
CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.593,-6.49,bnn,mordred,delaney,minimize,ucb,0,7
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.925,-6.49,bnn,mordred,delaney,minimize,ucb,0,8
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.364,-6.49,bnn,mordred,delaney,minimize,ucb,0,9
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.21,-6.49,bnn,mordred,delaney,minimize,ucb,0,10
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,-8.804,bnn,mordred,delaney,minimize,ucb,0,11
C=C(Cl)Cl,-1.64,-8.804,bnn,mordred,delaney,minimize,ucb,0,12
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56,-8.804,bnn,mordred,delaney,minimize,ucb,0,13
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083,-8.804,bnn,mordred,delaney,minimize,ucb,0,14
CCC(C)(C)CC,-4.23,-8.804,bnn,mordred,delaney,minimize,ucb,0,15
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,-8.804,bnn,mordred,delaney,minimize,ucb,0,16
CO,1.57,-8.804,bnn,mordred,delaney,minimize,ucb,0,17
CCOC(=O)C=Cc1ccccc1,-3.0,-8.804,bnn,mordred,delaney,minimize,ucb,0,18
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.953,-8.804,bnn,mordred,delaney,minimize,ucb,0,19
COc1c2occc2cc2ccc(=O)oc12,-3.664,-8.804,bnn,mordred,delaney,minimize,ucb,0,20
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,-8.804,bnn,mordred,delaney,minimize,ucb,0,21
Nc1ccc(S(N)(=O)=O)cc1,-1.34,-8.804,bnn,mordred,delaney,minimize,ucb,0,22
c1ccc2c(c1)CCN2,-1.04,-8.804,bnn,mordred,delaney,minimize,ucb,0,23
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.66,-8.804,bnn,mordred,delaney,minimize,ucb,0,24
Nc1cc[nH]c(=O)n1,-1.155,-8.804,bnn,mordred,delaney,minimize,ucb,0,25
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79,-8.804,bnn,mordred,delaney,minimize,ucb,0,26
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.8,-8.804,bnn,mordred,delaney,minimize,ucb,0,27
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8,-8.804,bnn,mordred,delaney,minimize,ucb,0,28
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,-8.804,bnn,mordred,delaney,minimize,ucb,0,29
Cc1cc(C)cc(O)c1,-1.4,-8.804,bnn,mordred,delaney,minimize,ucb,0,30
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46,-8.804,bnn,mordred,delaney,minimize,ucb,0,31
