smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,0
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,1
Nc1nccs1,-0.36,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,2
CC(C)CNC(=O)N1CCNC1=O,-2.15,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,3
Oc1cccc2ncccc12,-2.54,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,4
Cc1cccc(C)c1C,-3.2,-3.38,gnngp,graphnet,delaney,minimize,ucb,0,5
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,6
C=CC=C,-1.87,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,7
CCCCCCCC(=O)OC,-3.17,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,8
CC=C(C)C,-2.56,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,9
Nc1ccc(S(N)(=O)=O)cc1,-1.34,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,10
C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614,-3.896,gnngp,graphnet,delaney,minimize,ucb,0,11
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,12
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,13
C=CC(O)CCC,-0.59,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,14
C#CCCC,-1.64,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,15
Oc1ccc(O)cc1,-0.17,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,16
CC(C)C(=O)C(C)C,-1.3,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,17
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,18
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,-5.282,gnngp,graphnet,delaney,minimize,ucb,0,19
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,20
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,21
Brc1ccc(I)cc1,-4.56,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,22
OCC(O)C(O)C(O)C(O)CO,0.06,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,23
CCN(CC)c1ccccc1,-3.03,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,24
CCOc1ccc(NC(N)=O)cc1,-2.17,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,25
Nc1ccccc1,-0.41,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,26
CCOP(=O)(OCC)OCC,0.43,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,27
C1=CCC=CC1,-2.06,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,28
CNC(=O)C=C(C)OP(=O)(OC)OC,0.651,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,29
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,30
c1ccc(NNc2ccccc2)cc1,-2.92,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,31
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,32
CC=Cc1ccc(OC)cc1,-3.13,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,33
NC(N)=S,0.32,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,34
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,35
CCC(O)(CC)CC,-0.85,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,36
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,37
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,38
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,39
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.402,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,40
CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,41
Nc1ccccc1Cl,-1.52,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,42
CNC(=O)Oc1cccc2ccccc12,-3.224,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,43
CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-5.382,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,44
CC(C)N(C(=O)CCl)c1ccccc1,-2.48,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,45
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,46
CCCCC(=O)OC,-1.34,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,47
Nc1ccccc1[N+](=O)[O-],-1.96,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,48
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,49
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,50
Clc1ccc(Cl)c(Cl)c1,-3.59,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,51
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,52
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,53
CC1CO1,-0.59,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,54
Cc1cccc2sc3nncn3c12,-2.07,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,55
C=C(C)C1CC=C(C)C(=O)C1,-2.06,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,56
ClCCCCl,-1.62,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,57
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,58
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,59
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,60
CNC(=O)Oc1ccccc1,-1.803,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,61
CCOC(N)=O,0.85,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,62
C=C(Cl)Cl,-1.64,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,63
CC(O)C(C)(C)C,-0.62,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,64
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,65
CC(C)C(C)(C)C,-4.36,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,66
CC(C)C(C)C(C)C,-4.8,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,67
CC(C)C(O)C(C)C,-1.22,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,68
COC(=O)c1cccnc1,-0.46,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,69
Oc1cccc(Cl)c1,-0.7,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,70
Cc1ccccc1C,-2.8,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,71
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,72
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.576,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,73
COC(=O)c1cc(O)c(O)c(O)c1,-1.24,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,74
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,75
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,76
CC1=CC(=O)c2ccccc2C1=O,-3.03,-7.39,gnngp,graphnet,delaney,minimize,ucb,0,77
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,78
CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,79
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,80
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,81
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,82
Cc1ccc(C(C)C)c(O)c1,-2.22,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,83
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,84
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.66,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,85
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,86
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,87
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,88
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,89
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,90
CC(=O)C(C)(C)C,-0.72,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,91
Brc1cc(Br)cc(Br)c1,-5.6,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,92
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,93
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,94
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,95
CCCCN(CC)C(=O)SCCC,-3.53,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,96
CCC(C)C(C)C,-4.28,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,97
CC(C)=CCCC(C)=CC=O,-2.06,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,98
CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-4.411,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,99
CCNc1nc(NC(C)C)nc(OC)n1,-2.084,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,100
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,101
CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,102
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,103
Oc1ccc(Br)cc1,-1.09,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,104
Fc1cccc(F)c1,-2.0,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,105
CC(C)O,0.43,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,106
ClCc1ccccc1,-2.39,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,107
CCNC(=S)NCC,-1.46,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,108
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,109
CC(=O)N(C)C,1.11,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,110
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,111
C#C,0.29,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,112
Cc1c(C)c(C)c(C)c(C)c1C,-5.23,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,113
CCCOC(C)=O,-0.72,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,114
ClC(Cl)C(Cl)(Cl)Cl,-2.6,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,115
CCCCCC,-3.84,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,116
CCCI,-2.29,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,117
CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,118
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,119
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337,-8.003,gnngp,graphnet,delaney,minimize,ucb,0,120
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,121
CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,122
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,123
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,124
CCCCCCCCCCCCCCCCCCCC,-8.172,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,125
CCCCCCCCCCCCCCCCCCO,-8.4,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,126
N#CC(Cl)(Cl)Cl,-2.168,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,127
C=CC#N,0.15,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,128
COP(=O)(NC(C)=O)SC,0.54,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,129
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,130
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,131
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.493,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,132
CC(C)Cl,-1.41,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,133
Cc1ccc([N+](=O)[O-])cc1,-2.49,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,134
Cc1cccc([N+](=O)[O-])c1,-2.44,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,135
c1ccc(Nc2ccccc2)cc1,-3.504,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,136
CC(C)(C)CCO,-0.5,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,137
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.953,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,138
c1ccncc1,0.76,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,139
Cc1cccnc1C,0.38,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,140
Nc1nc(=O)[nH]cc1F,-0.972,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,141
CCCCOC,-0.99,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,142
NC(=O)c1cnccn1,-0.667,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,143
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,144
Cc1cccc2c(C)cccc12,-4.679,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,145
CC[N+](=O)[O-],-0.22,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,146
Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,147
Cc1c[nH]c2ccccc12,-2.42,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,148
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,149
CCCCl,-1.47,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,150
O=C1NC(=O)C2(CCCC2)C(=O)N1,-2.349,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,151
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,152
CC(Cl)CCl,-1.6,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,153
CCCCO,0.0,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,154
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,155
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,156
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,157
Ic1ccccc1,-3.01,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,158
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,159
CCCC,-2.57,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,160
CCCCCCCCC(C)=O,-3.3,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,161
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,162
C=CC(=C)C,-2.03,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,163
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,164
O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O,-5.03,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,165
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,166
CC(C)OC(C)C,-1.1,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,167
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-4.955,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,168
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,169
C=CCCC,-2.68,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,170
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.259,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,171
CCC(C=O)CC,-1.52,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,172
CCCCCC(C)=O,-1.45,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,173
CC(C)c1ccccc1,-3.27,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,174
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,175
NC(=O)NCc1ccccc1,-0.95,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,176
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.15,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,177
CCCCCCCCCC(C)O,-2.94,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,178
CCSCC,-1.34,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,179
c1ccc2ocnc2c1,-1.16,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,180
N#CCCCl,-0.29,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,181
CCCOC=O,-0.49,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,182
CNc1ccccc1,-1.28,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,183
CC(C)CCO,-0.51,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,184
CCCCCC(C)O,-1.55,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,185
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,186
CCCCCCC(=O)OCC,-2.74,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,187
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,188
CCCCCCCCCCCC(=O)OC,-4.69,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,189
CCCCCCCCCC(=O)OC,-4.69,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,190
ClCCBr,-1.32,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,191
CCCCC(=O)CCCC,-2.58,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,192
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,193
CC(C)I,-2.09,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,194
CN(C)C(=O)N(C)C,0.94,-8.402,gnngp,graphnet,delaney,minimize,ucb,0,195
