smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
Cc1cccc(C)c1,-2.82,-2.82,gp,mfp,delaney,minimize,ucb,0,0
CBr,-0.79,-2.82,gp,mfp,delaney,minimize,ucb,0,1
CC(=O)Nc1ccc(Br)cc1,-3.083,-3.083,gp,mfp,delaney,minimize,ucb,0,2
Nc1nc2[nH]cnc2c(=O)[nH]1,-3.583,-3.583,gp,mfp,delaney,minimize,ucb,0,3
Nc1ccccc1,-0.41,-3.583,gp,mfp,delaney,minimize,ucb,0,4
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,-4.19,gp,mfp,delaney,minimize,ucb,0,5
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,-4.19,gp,mfp,delaney,minimize,ucb,0,6
c1ccc2c(c1)CCN2,-1.04,-4.19,gp,mfp,delaney,minimize,ucb,0,7
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077,-4.19,gp,mfp,delaney,minimize,ucb,0,8
CCCCC(O)CC,-1.47,-4.19,gp,mfp,delaney,minimize,ucb,0,9
NC(=O)NCc1ccccc1,-0.95,-4.19,gp,mfp,delaney,minimize,ucb,0,10
Cc1cc(=O)n(-c2ccccc2)n1C,0.715,-4.19,gp,mfp,delaney,minimize,ucb,0,11
ClCCl,-0.63,-4.19,gp,mfp,delaney,minimize,ucb,0,12
Clc1cccc(Cl)c1,-3.04,-4.19,gp,mfp,delaney,minimize,ucb,0,13
Nc1nccs1,-0.36,-4.19,gp,mfp,delaney,minimize,ucb,0,14
CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907,-4.907,gp,mfp,delaney,minimize,ucb,0,15
C#CCCCCCCC,-4.24,-4.907,gp,mfp,delaney,minimize,ucb,0,16
CCC(C)=O,0.52,-4.907,gp,mfp,delaney,minimize,ucb,0,17
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522,-4.907,gp,mfp,delaney,minimize,ucb,0,18
CSc1nc(N(C)C)nc(N(C)C)n1,-2.676,-4.907,gp,mfp,delaney,minimize,ucb,0,19
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.293,-5.293,gp,mfp,delaney,minimize,ucb,0,20
C1CCCCCCC1,-4.15,-5.293,gp,mfp,delaney,minimize,ucb,0,21
Clc1ccccc1Cl,-3.05,-5.293,gp,mfp,delaney,minimize,ucb,0,22
CCC(C)(O)CC,-0.36,-5.293,gp,mfp,delaney,minimize,ucb,0,23
Cc1ccccc1N,-2.21,-5.293,gp,mfp,delaney,minimize,ucb,0,24
Brc1cc(Br)c(Br)cc1Br,-6.98,-6.98,gp,mfp,delaney,minimize,ucb,0,25
CO,1.57,-6.98,gp,mfp,delaney,minimize,ucb,0,26
OCC(O)CO,1.12,-6.98,gp,mfp,delaney,minimize,ucb,0,27
CN(C)C(=O)N(C)C,0.94,-6.98,gp,mfp,delaney,minimize,ucb,0,28
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95,-6.98,gp,mfp,delaney,minimize,ucb,0,29
Cc1cccc(C)c1O,-1.29,-6.98,gp,mfp,delaney,minimize,ucb,0,30
ClCC(Cl)Cl,-1.48,-6.98,gp,mfp,delaney,minimize,ucb,0,31
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,-6.98,gp,mfp,delaney,minimize,ucb,0,32
CCCCCCCCCC(=O)OC,-4.69,-6.98,gp,mfp,delaney,minimize,ucb,0,33
Cc1ccc(S(N)(=O)=O)cc1,-1.74,-6.98,gp,mfp,delaney,minimize,ucb,0,34
CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873,-6.98,gp,mfp,delaney,minimize,ucb,0,35
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,-6.98,gp,mfp,delaney,minimize,ucb,0,36
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4,-6.98,gp,mfp,delaney,minimize,ucb,0,37
Oc1c2ccccc2cc2ccccc12,-4.73,-6.98,gp,mfp,delaney,minimize,ucb,0,38
Cc1ccccc1Cl,-3.52,-6.98,gp,mfp,delaney,minimize,ucb,0,39
CCCCCBr,-3.08,-6.98,gp,mfp,delaney,minimize,ucb,0,40
C=CC=C,-1.87,-6.98,gp,mfp,delaney,minimize,ucb,0,41
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,-8.6,gp,mfp,delaney,minimize,ucb,0,42
Clc1ccc(Cl)cc1,-3.27,-8.6,gp,mfp,delaney,minimize,ucb,0,43
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,-8.6,gp,mfp,delaney,minimize,ucb,0,44
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,-8.6,gp,mfp,delaney,minimize,ucb,0,45
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42,-8.6,gp,mfp,delaney,minimize,ucb,0,46
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,-8.6,gp,mfp,delaney,minimize,ucb,0,47
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.66,-8.6,gp,mfp,delaney,minimize,ucb,0,48
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,-9.15,gp,mfp,delaney,minimize,ucb,0,49
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,-9.15,gp,mfp,delaney,minimize,ucb,0,50
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94,-9.15,gp,mfp,delaney,minimize,ucb,0,51
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01,-9.15,gp,mfp,delaney,minimize,ucb,0,52
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,-9.15,gp,mfp,delaney,minimize,ucb,0,53
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,-9.16,gp,mfp,delaney,minimize,ucb,0,54
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82,-9.16,gp,mfp,delaney,minimize,ucb,0,55
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,-9.16,gp,mfp,delaney,minimize,ucb,0,56
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56,-9.16,gp,mfp,delaney,minimize,ucb,0,57
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1,-9.16,gp,mfp,delaney,minimize,ucb,0,58
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.39,-9.16,gp,mfp,delaney,minimize,ucb,0,59
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8,-9.16,gp,mfp,delaney,minimize,ucb,0,60
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,-9.16,gp,mfp,delaney,minimize,ucb,0,61
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,-9.16,gp,mfp,delaney,minimize,ucb,0,62
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,-9.16,gp,mfp,delaney,minimize,ucb,0,63
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6,-11.6,gp,mfp,delaney,minimize,ucb,0,64
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,-11.6,gp,mfp,delaney,minimize,ucb,0,65
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.27,-11.6,gp,mfp,delaney,minimize,ucb,0,66
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,-11.6,gp,mfp,delaney,minimize,ucb,0,67
Clc1ccc(Cl)c(Cl)c1,-3.59,-11.6,gp,mfp,delaney,minimize,ucb,0,68
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92,-11.6,gp,mfp,delaney,minimize,ucb,0,69
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,-11.6,gp,mfp,delaney,minimize,ucb,0,70
