smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CC(C)C(C)O,-0.18,-0.18,gp,mordred,delaney,minimize,ucb,0,0
c1ccc2ccccc2c1,-3.6,-3.6,gp,mordred,delaney,minimize,ucb,0,1
Nc1cc[nH]c(=O)n1,-1.155,-3.6,gp,mordred,delaney,minimize,ucb,0,2
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73,-3.73,gp,mordred,delaney,minimize,ucb,0,3
Oc1ccc(Cl)c(Cl)c1Cl,-2.67,-3.73,gp,mordred,delaney,minimize,ucb,0,4
CC[N+](=O)[O-],-0.22,-3.73,gp,mordred,delaney,minimize,ucb,0,5
O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O,-5.03,-5.03,gp,mordred,delaney,minimize,ucb,0,6
CSC,-0.45,-5.03,gp,mordred,delaney,minimize,ucb,0,7
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7,-5.03,gp,mordred,delaney,minimize,ucb,0,8
CCC(C)(C)O,0.15,-5.03,gp,mordred,delaney,minimize,ucb,0,9
Oc1c2ccccc2cc2ccccc12,-4.73,-5.03,gp,mordred,delaney,minimize,ucb,0,10
CC(=O)C(C)(C)C,-0.72,-5.03,gp,mordred,delaney,minimize,ucb,0,11
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.293,-5.293,gp,mordred,delaney,minimize,ucb,0,12
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337,-7.337,gp,mordred,delaney,minimize,ucb,0,13
Clc1cccc(I)c1,-3.55,-7.337,gp,mordred,delaney,minimize,ucb,0,14
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.876,-7.337,gp,mordred,delaney,minimize,ucb,0,15
C=CC(C)(O)CCC=C(C)C,-1.99,-7.337,gp,mordred,delaney,minimize,ucb,0,16
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,-7.337,gp,mordred,delaney,minimize,ucb,0,17
CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.207,-7.337,gp,mordred,delaney,minimize,ucb,0,18
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,-7.337,gp,mordred,delaney,minimize,ucb,0,19
Nc1ccc([N+](=O)[O-])cc1,-2.37,-7.337,gp,mordred,delaney,minimize,ucb,0,20
C1CCOC1,0.49,-7.337,gp,mordred,delaney,minimize,ucb,0,21
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79,-7.337,gp,mordred,delaney,minimize,ucb,0,22
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,-7.337,gp,mordred,delaney,minimize,ucb,0,23
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,-7.337,gp,mordred,delaney,minimize,ucb,0,24
O=C1NC(=O)C(=O)N1,-0.4,-7.337,gp,mordred,delaney,minimize,ucb,0,25
CCC(C)Cl,-1.96,-7.337,gp,mordred,delaney,minimize,ucb,0,26
CCCCCCCCCCCCCCCO,-6.35,-7.337,gp,mordred,delaney,minimize,ucb,0,27
