smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,-0.41,ngboost,mfp,delaney,minimize,ucb,0,0
C=CCSS(=O)CC=C,-0.83,-0.83,ngboost,mfp,delaney,minimize,ucb,0,1
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,-7.11,ngboost,mfp,delaney,minimize,ucb,0,2
c1ccc2[nH]ccc2c1,-1.52,-7.11,ngboost,mfp,delaney,minimize,ucb,0,3
CCCC(C)(C)O,-0.49,-7.11,ngboost,mfp,delaney,minimize,ucb,0,4
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,-8.003,ngboost,mfp,delaney,minimize,ucb,0,5
CCCCCCCC,-5.24,-8.003,ngboost,mfp,delaney,minimize,ucb,0,6
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,-8.003,ngboost,mfp,delaney,minimize,ucb,0,7
O=c1ccnc(S)[nH]1,-2.273,-8.003,ngboost,mfp,delaney,minimize,ucb,0,8
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,-8.003,ngboost,mfp,delaney,minimize,ucb,0,9
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-1.456,-8.003,ngboost,mfp,delaney,minimize,ucb,0,10
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404,-8.003,ngboost,mfp,delaney,minimize,ucb,0,11
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,-8.003,ngboost,mfp,delaney,minimize,ucb,0,12
CCCC1CCCC1,-4.74,-8.003,ngboost,mfp,delaney,minimize,ucb,0,13
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.676,-8.003,ngboost,mfp,delaney,minimize,ucb,0,14
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68,-8.003,ngboost,mfp,delaney,minimize,ucb,0,15
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,-8.003,ngboost,mfp,delaney,minimize,ucb,0,16
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,-8.003,ngboost,mfp,delaney,minimize,ucb,0,17
CCC(C)CO,-0.47,-8.003,ngboost,mfp,delaney,minimize,ucb,0,18
C=CC(C)(O)CCC=C(C)C,-1.99,-8.003,ngboost,mfp,delaney,minimize,ucb,0,19
CCSCCSP(=S)(OC)OC,-3.091,-8.003,ngboost,mfp,delaney,minimize,ucb,0,20
c1cc2c3c(cccc3c1)CC2,-4.63,-8.003,ngboost,mfp,delaney,minimize,ucb,0,21
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,-8.003,ngboost,mfp,delaney,minimize,ucb,0,22
CCCCCCBr,-3.81,-8.003,ngboost,mfp,delaney,minimize,ucb,0,23
CCC(C)(C)O,0.15,-8.003,ngboost,mfp,delaney,minimize,ucb,0,24
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083,-8.003,ngboost,mfp,delaney,minimize,ucb,0,25
O=Cc1ccccc1,-1.19,-8.003,ngboost,mfp,delaney,minimize,ucb,0,26
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,-8.003,ngboost,mfp,delaney,minimize,ucb,0,27
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37,-8.003,ngboost,mfp,delaney,minimize,ucb,0,28
CCC1CCCCC1,-4.25,-8.003,ngboost,mfp,delaney,minimize,ucb,0,29
Oc1ccc2c(c1)CCCC2,-1.99,-8.003,ngboost,mfp,delaney,minimize,ucb,0,30
COc1ccccc1O,-1.96,-8.003,ngboost,mfp,delaney,minimize,ucb,0,31
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,-8.003,ngboost,mfp,delaney,minimize,ucb,0,32
C=CCCC=C,-2.68,-8.003,ngboost,mfp,delaney,minimize,ucb,0,33
N#CCCCl,-0.29,-8.003,ngboost,mfp,delaney,minimize,ucb,0,34
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,-8.003,ngboost,mfp,delaney,minimize,ucb,0,35
CNC(=O)Oc1ccccc1C(C)C,-2.863,-8.003,ngboost,mfp,delaney,minimize,ucb,0,36
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.402,-8.003,ngboost,mfp,delaney,minimize,ucb,0,37
c1ccc2ncccc2c1,-1.3,-8.003,ngboost,mfp,delaney,minimize,ucb,0,38
CCI,-1.6,-8.003,ngboost,mfp,delaney,minimize,ucb,0,39
CCCC(C)O,-0.29,-8.003,ngboost,mfp,delaney,minimize,ucb,0,40
CC(C)O,0.43,-8.003,ngboost,mfp,delaney,minimize,ucb,0,41
Brc1ccccc1,-2.55,-8.003,ngboost,mfp,delaney,minimize,ucb,0,42
CCC(C)O,0.47,-8.003,ngboost,mfp,delaney,minimize,ucb,0,43
