smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
Cc1ccc(S(N)(=O)=O)cc1,-1.74,-1.74,sngp,mfp,delaney,minimize,ucb,0,0
C=CCC,-1.94,-1.94,sngp,mfp,delaney,minimize,ucb,0,1
Cc1ccc(C(C)C)c(O)c1,-2.22,-2.22,sngp,mfp,delaney,minimize,ucb,0,2
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,-5.46,sngp,mfp,delaney,minimize,ucb,0,3
CCCCN(CC)C(=O)SCCC,-3.53,-5.46,sngp,mfp,delaney,minimize,ucb,0,4
CCNc1nc(Cl)nc(NCC)n1,-4.55,-5.46,sngp,mfp,delaney,minimize,ucb,0,5
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,-5.46,sngp,mfp,delaney,minimize,ucb,0,6
CCCCCCCCCO,-3.01,-5.46,sngp,mfp,delaney,minimize,ucb,0,7
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.586,-5.46,sngp,mfp,delaney,minimize,ucb,0,8
c1ccc(NNc2ccccc2)cc1,-2.92,-5.46,sngp,mfp,delaney,minimize,ucb,0,9
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,-5.46,sngp,mfp,delaney,minimize,ucb,0,10
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,-5.46,sngp,mfp,delaney,minimize,ucb,0,11
O=C1NC(=O)C2C=CC=CC12,-2.932,-5.46,sngp,mfp,delaney,minimize,ucb,0,12
Clc1cccc(Cl)c1,-3.04,-5.46,sngp,mfp,delaney,minimize,ucb,0,13
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,-5.46,sngp,mfp,delaney,minimize,ucb,0,14
CCC(C)(O)CC,-0.36,-5.46,sngp,mfp,delaney,minimize,ucb,0,15
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,-5.46,sngp,mfp,delaney,minimize,ucb,0,16
COc1cnc2cncnc2n1,-0.91,-5.46,sngp,mfp,delaney,minimize,ucb,0,17
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,-5.46,sngp,mfp,delaney,minimize,ucb,0,18
Brc1cccc2ccccc12,-4.35,-5.46,sngp,mfp,delaney,minimize,ucb,0,19
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,-5.46,sngp,mfp,delaney,minimize,ucb,0,20
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,-5.46,sngp,mfp,delaney,minimize,ucb,0,21
CC(C)C(C)O,-0.18,-5.46,sngp,mfp,delaney,minimize,ucb,0,22
C=COCC,-0.85,-5.46,sngp,mfp,delaney,minimize,ucb,0,23
CC(C)O,0.43,-5.46,sngp,mfp,delaney,minimize,ucb,0,24
CNC(=O)Oc1cccc2ccccc12,-3.224,-5.46,sngp,mfp,delaney,minimize,ucb,0,25
Oc1c(Cl)ccc(Cl)c1Cl,-2.64,-5.46,sngp,mfp,delaney,minimize,ucb,0,26
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,-7.21,sngp,mfp,delaney,minimize,ucb,0,27
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.284,-7.21,sngp,mfp,delaney,minimize,ucb,0,28
NC(=O)c1ccccc1O,-1.82,-7.21,sngp,mfp,delaney,minimize,ucb,0,29
O=Cc1ccc2c(c1)OCO2,-1.63,-7.21,sngp,mfp,delaney,minimize,ucb,0,30
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94,-8.94,sngp,mfp,delaney,minimize,ucb,0,31
CCCCCl,-2.03,-8.94,sngp,mfp,delaney,minimize,ucb,0,32
CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,-8.94,sngp,mfp,delaney,minimize,ucb,0,33
Oc1ccc(Cl)c(Cl)c1,-1.25,-8.94,sngp,mfp,delaney,minimize,ucb,0,34
Oc1c2ccccc2cc2ccccc12,-4.73,-8.94,sngp,mfp,delaney,minimize,ucb,0,35
Cc1ccc(O)c(C)c1,-1.19,-8.94,sngp,mfp,delaney,minimize,ucb,0,36
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,-8.94,sngp,mfp,delaney,minimize,ucb,0,37
C#CCCCCC,-3.01,-8.94,sngp,mfp,delaney,minimize,ucb,0,38
ClC(Cl)Cl,-1.17,-8.94,sngp,mfp,delaney,minimize,ucb,0,39
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8,-8.94,sngp,mfp,delaney,minimize,ucb,0,40
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,-8.94,sngp,mfp,delaney,minimize,ucb,0,41
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451,-8.94,sngp,mfp,delaney,minimize,ucb,0,42
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69,-8.94,sngp,mfp,delaney,minimize,ucb,0,43
O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-2.84,-8.94,sngp,mfp,delaney,minimize,ucb,0,44
Nc1cccc(Cl)c1,-1.37,-8.94,sngp,mfp,delaney,minimize,ucb,0,45
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,-8.94,sngp,mfp,delaney,minimize,ucb,0,46
COc1c2occc2cc2ccc(=O)oc12,-3.664,-8.94,sngp,mfp,delaney,minimize,ucb,0,47
CCCCCCCCCC(=O)OCC,-4.1,-8.94,sngp,mfp,delaney,minimize,ucb,0,48
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,-8.94,sngp,mfp,delaney,minimize,ucb,0,49
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,-8.94,sngp,mfp,delaney,minimize,ucb,0,50
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.604,-8.94,sngp,mfp,delaney,minimize,ucb,0,51
CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.871,-8.94,sngp,mfp,delaney,minimize,ucb,0,52
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,-8.94,sngp,mfp,delaney,minimize,ucb,0,53
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,-8.94,sngp,mfp,delaney,minimize,ucb,0,54
Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-7.92,-8.94,sngp,mfp,delaney,minimize,ucb,0,55
CCc1ccc2ccccc2c1,-4.29,-8.94,sngp,mfp,delaney,minimize,ucb,0,56
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.576,-8.94,sngp,mfp,delaney,minimize,ucb,0,57
c1ccc2c(c1)cnc1ccccc12,-2.78,-8.94,sngp,mfp,delaney,minimize,ucb,0,58
Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.01,-8.94,sngp,mfp,delaney,minimize,ucb,0,59
CCCCC(CC)CO,-2.11,-8.94,sngp,mfp,delaney,minimize,ucb,0,60
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,-8.94,sngp,mfp,delaney,minimize,ucb,0,61
CCCCCCc1ccc(O)cc1O,-2.59,-8.94,sngp,mfp,delaney,minimize,ucb,0,62
O=[N+]([O-])c1cccc2ccccc12,-3.54,-8.94,sngp,mfp,delaney,minimize,ucb,0,63
c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-7.85,-8.94,sngp,mfp,delaney,minimize,ucb,0,64
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,-8.94,sngp,mfp,delaney,minimize,ucb,0,65
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38,-8.94,sngp,mfp,delaney,minimize,ucb,0,66
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,-8.94,sngp,mfp,delaney,minimize,ucb,0,67
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,-8.94,sngp,mfp,delaney,minimize,ucb,0,68
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752,-8.94,sngp,mfp,delaney,minimize,ucb,0,69
CCCOCCC,-1.62,-8.94,sngp,mfp,delaney,minimize,ucb,0,70
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,-8.94,sngp,mfp,delaney,minimize,ucb,0,71
COc1cccc(Cl)c1,-2.78,-8.94,sngp,mfp,delaney,minimize,ucb,0,72
