smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
Nc1ccc([N+](=O)[O-])cc1,-2.37,-2.37,sngp,mordred,delaney,minimize,ucb,0,0
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,-6.47,sngp,mordred,delaney,minimize,ucb,0,1
CC(C)C(C)(C)C,-4.36,-6.47,sngp,mordred,delaney,minimize,ucb,0,2
O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,-6.47,sngp,mordred,delaney,minimize,ucb,0,3
CCNC(=S)NCC,-1.46,-6.47,sngp,mordred,delaney,minimize,ucb,0,4
COc1ccccc1Cl,-2.46,-6.47,sngp,mordred,delaney,minimize,ucb,0,5
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,-8.6,sngp,mordred,delaney,minimize,ucb,0,6
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,-8.6,sngp,mordred,delaney,minimize,ucb,0,7
Oc1ccc(O)cc1,-0.17,-8.6,sngp,mordred,delaney,minimize,ucb,0,8
c1cnc2ncncc2n1,0.02,-8.6,sngp,mordred,delaney,minimize,ucb,0,9
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.176,-8.6,sngp,mordred,delaney,minimize,ucb,0,10
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,-3.538,-8.6,sngp,mordred,delaney,minimize,ucb,0,11
CSC,-0.45,-8.6,sngp,mordred,delaney,minimize,ucb,0,12
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,-8.6,sngp,mordred,delaney,minimize,ucb,0,13
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85,-8.6,sngp,mordred,delaney,minimize,ucb,0,14
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,-8.6,sngp,mordred,delaney,minimize,ucb,0,15
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,-8.6,sngp,mordred,delaney,minimize,ucb,0,16
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077,-8.6,sngp,mordred,delaney,minimize,ucb,0,17
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451,-8.6,sngp,mordred,delaney,minimize,ucb,0,18
ClC(Cl)=C(Cl)Cl,-2.54,-8.6,sngp,mordred,delaney,minimize,ucb,0,19
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,-8.6,sngp,mordred,delaney,minimize,ucb,0,20
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29,-8.6,sngp,mordred,delaney,minimize,ucb,0,21
CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-4.114,-8.6,sngp,mordred,delaney,minimize,ucb,0,22
C=Cc1ccccc1,-2.82,-8.6,sngp,mordred,delaney,minimize,ucb,0,23
c1ccc2ccccc2c1,-3.6,-8.6,sngp,mordred,delaney,minimize,ucb,0,24
COc1c2occc2cc2ccc(=O)oc12,-3.664,-8.6,sngp,mordred,delaney,minimize,ucb,0,25
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,-8.6,sngp,mordred,delaney,minimize,ucb,0,26
CCCCc1c(C)nc(N(C)C)nc1O,-2.24,-8.6,sngp,mordred,delaney,minimize,ucb,0,27
Cc1cccc(C)c1,-2.82,-8.6,sngp,mordred,delaney,minimize,ucb,0,28
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9,-8.6,sngp,mordred,delaney,minimize,ucb,0,29
Brc1ccc2ccccc2c1,-4.4,-8.6,sngp,mordred,delaney,minimize,ucb,0,30
Cc1ccccc1C,-2.8,-8.6,sngp,mordred,delaney,minimize,ucb,0,31
Oc1ccc(Cl)cc1Cl,-1.55,-8.6,sngp,mordred,delaney,minimize,ucb,0,32
CCCCCCCCC(=O)OCC,-3.8,-8.6,sngp,mordred,delaney,minimize,ucb,0,33
CCC(C)=O,0.52,-8.6,sngp,mordred,delaney,minimize,ucb,0,34
CCCCCCCC(=O)OC,-3.17,-8.6,sngp,mordred,delaney,minimize,ucb,0,35
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,-8.6,sngp,mordred,delaney,minimize,ucb,0,36
O=c1[nH]cnc2nc[nH]c12,-2.296,-8.6,sngp,mordred,delaney,minimize,ucb,0,37
Cc1ccccc1C(C)C,-3.76,-8.6,sngp,mordred,delaney,minimize,ucb,0,38
CCC(=O)OC,-0.14,-8.6,sngp,mordred,delaney,minimize,ucb,0,39
c1ccc2c(c1)Cc1ccccc1-2,-5.0,-8.6,sngp,mordred,delaney,minimize,ucb,0,40
OCC(O)C(O)C(O)C(O)CO,0.06,-8.6,sngp,mordred,delaney,minimize,ucb,0,41
CCOP(=S)(OCC)SCCSCC,-4.23,-8.6,sngp,mordred,delaney,minimize,ucb,0,42
Cc1ccncc1C,0.36,-8.6,sngp,mordred,delaney,minimize,ucb,0,43
CCCCCCCCCCCCCCCO,-6.35,-8.6,sngp,mordred,delaney,minimize,ucb,0,44
CCCCCCCCCCCCCCCCO,-7.0,-8.6,sngp,mordred,delaney,minimize,ucb,0,45
