smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CS,-1.2,-1.2,bnn,mordred,freesolv,minimize,ucb,0,0
CN1CCCCC1,-3.88,-3.88,bnn,mordred,freesolv,minimize,ucb,0,1
BrCBr,-1.96,-3.88,bnn,mordred,freesolv,minimize,ucb,0,2
CCSC,-1.5,-3.88,bnn,mordred,freesolv,minimize,ucb,0,3
C[N+](=O)[O-],-4.02,-4.02,bnn,mordred,freesolv,minimize,ucb,0,4
c1ccncc1,-4.69,-4.69,bnn,mordred,freesolv,minimize,ucb,0,5
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61,-4.69,bnn,mordred,freesolv,minimize,ucb,0,6
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64,-4.69,bnn,mordred,freesolv,minimize,ucb,0,7
C1COCCO1,-5.06,-5.06,bnn,mordred,freesolv,minimize,ucb,0,8
OC1CCCCC1,-5.46,-5.46,bnn,mordred,freesolv,minimize,ucb,0,9
CCCC#N,-3.64,-5.46,bnn,mordred,freesolv,minimize,ucb,0,10
FC(F)O[C@H](Cl)C(F)(F)F,0.1,-5.46,bnn,mordred,freesolv,minimize,ucb,0,11
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78,-10.78,bnn,mordred,freesolv,minimize,ucb,0,12
CCCOC(=O)c1ccc(O)cc1,-9.37,-10.78,bnn,mordred,freesolv,minimize,ucb,0,13
CCCCCCO,-4.4,-10.78,bnn,mordred,freesolv,minimize,ucb,0,14
CC(=O)OCCOC(C)=O,-6.34,-10.78,bnn,mordred,freesolv,minimize,ucb,0,15
OC1CCCC1,-5.49,-10.78,bnn,mordred,freesolv,minimize,ucb,0,16
CCCCCOC(C)=O,-2.51,-10.78,bnn,mordred,freesolv,minimize,ucb,0,17
CN1CCOCC1,-6.32,-10.78,bnn,mordred,freesolv,minimize,ucb,0,18
c1ccc2c(c1)Cc1ccccc1-2,-3.35,-10.78,bnn,mordred,freesolv,minimize,ucb,0,19
Cc1ccc(N)cc1,-5.57,-10.78,bnn,mordred,freesolv,minimize,ucb,0,20
CC(C)C[C@@H](C)O,-3.73,-10.78,bnn,mordred,freesolv,minimize,ucb,0,21
ClCCOCCCl,-4.23,-10.78,bnn,mordred,freesolv,minimize,ucb,0,22
CCSSCC,-1.64,-10.78,bnn,mordred,freesolv,minimize,ucb,0,23
C=C(C)CCC,1.47,-10.78,bnn,mordred,freesolv,minimize,ucb,0,24
NN,-9.3,-10.78,bnn,mordred,freesolv,minimize,ucb,0,25
COC(=O)CCl,-4.0,-10.78,bnn,mordred,freesolv,minimize,ucb,0,26
OCCO,-9.3,-10.78,bnn,mordred,freesolv,minimize,ucb,0,27
O=c1[nH]cc(Cl)c(=O)[nH]1,-17.74,-17.74,bnn,mordred,freesolv,minimize,ucb,0,28
O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83,-17.74,bnn,mordred,freesolv,minimize,ucb,0,29
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66,-17.74,bnn,mordred,freesolv,minimize,ucb,0,30
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-11.14,-17.74,bnn,mordred,freesolv,minimize,ucb,0,31
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-7.98,-17.74,bnn,mordred,freesolv,minimize,ucb,0,32
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.25,-17.74,bnn,mordred,freesolv,minimize,ucb,0,33
CNC(=O)ON=CC(C)(C)SC,-9.84,-17.74,bnn,mordred,freesolv,minimize,ucb,0,34
CN(CC(F)(F)F)c1ccccc1,-1.92,-17.74,bnn,mordred,freesolv,minimize,ucb,0,35
COCC(OC)(OC)OC,-5.73,-17.74,bnn,mordred,freesolv,minimize,ucb,0,36
CCCOC(=O)CC,-2.44,-17.74,bnn,mordred,freesolv,minimize,ucb,0,37
CC(C)OC=O,-2.02,-17.74,bnn,mordred,freesolv,minimize,ucb,0,38
CCCOC(=O)CCC,-2.28,-17.74,bnn,mordred,freesolv,minimize,ucb,0,39
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23,-17.74,bnn,mordred,freesolv,minimize,ucb,0,40
CI,-0.89,-17.74,bnn,mordred,freesolv,minimize,ucb,0,41
C=C,1.28,-17.74,bnn,mordred,freesolv,minimize,ucb,0,42
C=CC=C,0.56,-17.74,bnn,mordred,freesolv,minimize,ucb,0,43
CCI,-0.74,-17.74,bnn,mordred,freesolv,minimize,ucb,0,44
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.45,-17.74,bnn,mordred,freesolv,minimize,ucb,0,45
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-6.78,-17.74,bnn,mordred,freesolv,minimize,ucb,0,46
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53,-17.74,bnn,mordred,freesolv,minimize,ucb,0,47
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-17.74,bnn,mordred,freesolv,minimize,ucb,0,48
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-15.46,-17.74,bnn,mordred,freesolv,minimize,ucb,0,49
COC(=O)C(C)(C)C,-2.4,-17.74,bnn,mordred,freesolv,minimize,ucb,0,50
COC(C)(OC)OC,-4.42,-17.74,bnn,mordred,freesolv,minimize,ucb,0,51
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55,-17.74,bnn,mordred,freesolv,minimize,ucb,0,52
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-3.44,-17.74,bnn,mordred,freesolv,minimize,ucb,0,53
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82,-17.74,bnn,mordred,freesolv,minimize,ucb,0,54
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-6.48,-17.74,bnn,mordred,freesolv,minimize,ucb,0,55
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-6.5,-17.74,bnn,mordred,freesolv,minimize,ucb,0,56
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.04,-17.74,bnn,mordred,freesolv,minimize,ucb,0,57
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-17.74,bnn,mordred,freesolv,minimize,ucb,0,58
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-3.37,-17.74,bnn,mordred,freesolv,minimize,ucb,0,59
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61,-17.74,bnn,mordred,freesolv,minimize,ucb,0,60
CCCCCCO[N+](=O)[O-],-1.66,-17.74,bnn,mordred,freesolv,minimize,ucb,0,61
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.53,-17.74,bnn,mordred,freesolv,minimize,ucb,0,62
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.15,-17.74,bnn,mordred,freesolv,minimize,ucb,0,63
