smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CCCC#N,-3.64,-3.64,gnngp,graphnet,freesolv,minimize,ucb,0,0
CCCCCCCCl,0.29,-3.64,gnngp,graphnet,freesolv,minimize,ucb,0,1
N#Cc1ccc(O)cc1,-10.17,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,2
O=[N+]([O-])c1ccccc1O,-4.58,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,3
CCOC=O,-2.56,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,4
CC#N,-3.88,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,5
Cc1cccc2ccccc12,-2.44,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,6
CCCCC(=O)OC,-2.56,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,7
CN(C)C,-3.2,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,8
Cc1cc2ccccc2cc1C,-2.78,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,9
CC(=O)Oc1ccccc1C(=O)O,-9.94,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,10
Oc1ccc(Cl)cc1,-7.03,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,11
CCCCCC(=O)OCC,-2.23,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,12
C1CNCCN1,-7.4,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,13
O=Cc1ccccc1O,-4.68,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,14
C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,15
CCCSCCC,-1.28,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,16
CCCC(C)(C)C,2.88,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,17
CCCCCCCCC,3.13,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,18
C=C(C)CCC,1.47,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,19
BrCc1ccccc1,-2.38,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,20
CC=O,-3.5,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,21
CCCOCCO,-6.4,-10.17,gnngp,graphnet,freesolv,minimize,ucb,0,22
