smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
Fc1ccccc1,-0.8,-0.8,gp,mfp,freesolv,minimize,ucb,0,0
CN,-4.55,-4.55,gp,mfp,freesolv,minimize,ucb,0,1
CCNc1nc(NC(C)C)nc(SC)n1,-7.65,-7.65,gp,mfp,freesolv,minimize,ucb,0,2
Cc1cccc2ccccc12,-2.44,-7.65,gp,mfp,freesolv,minimize,ucb,0,3
O=c1[nH]cc(Cl)c(=O)[nH]1,-17.74,-17.74,gp,mfp,freesolv,minimize,ucb,0,4
O=C1CCCCC1,-4.91,-17.74,gp,mfp,freesolv,minimize,ucb,0,5
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-7.98,-17.74,gp,mfp,freesolv,minimize,ucb,0,6
CCCOC(=O)c1ccc(O)cc1,-9.37,-17.74,gp,mfp,freesolv,minimize,ucb,0,7
CCI,-0.74,-17.74,gp,mfp,freesolv,minimize,ucb,0,8
COc1cc(C)ccc1O,-5.8,-17.74,gp,mfp,freesolv,minimize,ucb,0,9
COc1cccc(OC)c1O,-6.96,-17.74,gp,mfp,freesolv,minimize,ucb,0,10
CCCBr,-0.56,-17.74,gp,mfp,freesolv,minimize,ucb,0,11
Cc1ccc(C)cc1,-0.8,-17.74,gp,mfp,freesolv,minimize,ucb,0,12
CC(C)I,-0.46,-17.74,gp,mfp,freesolv,minimize,ucb,0,13
ClCCCl,-1.79,-17.74,gp,mfp,freesolv,minimize,ucb,0,14
CCCCCCCC(C)=O,-2.49,-17.74,gp,mfp,freesolv,minimize,ucb,0,15
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16,-17.74,gp,mfp,freesolv,minimize,ucb,0,16
NC1CCCCC1,-4.59,-17.74,gp,mfp,freesolv,minimize,ucb,0,17
CCCCN,-4.24,-17.74,gp,mfp,freesolv,minimize,ucb,0,18
CCc1ccncc1,-4.73,-17.74,gp,mfp,freesolv,minimize,ucb,0,19
c1ccc(Cn2ccnc2)cc1,-7.63,-17.74,gp,mfp,freesolv,minimize,ucb,0,20
CN(C)C(=O)c1ccccc1,-9.29,-17.74,gp,mfp,freesolv,minimize,ucb,0,21
CC,1.83,-17.74,gp,mfp,freesolv,minimize,ucb,0,22
CCOC=O,-2.56,-17.74,gp,mfp,freesolv,minimize,ucb,0,23
Nc1ccccc1[N+](=O)[O-],-7.37,-17.74,gp,mfp,freesolv,minimize,ucb,0,24
O=c1[nH]cc(F)c(=O)[nH]1,-16.92,-17.74,gp,mfp,freesolv,minimize,ucb,0,25
O=c1[nH]cc(Br)c(=O)[nH]1,-18.17,-18.17,gp,mfp,freesolv,minimize,ucb,0,26
O=c1[nH]cc(I)c(=O)[nH]1,-18.72,-18.72,gp,mfp,freesolv,minimize,ucb,0,27
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-15.46,-18.72,gp,mfp,freesolv,minimize,ucb,0,28
O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83,-18.72,gp,mfp,freesolv,minimize,ucb,0,29
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-18.72,gp,mfp,freesolv,minimize,ucb,0,30
COc1ccc(C(=O)N(C)C)cc1,-11.01,-18.72,gp,mfp,freesolv,minimize,ucb,0,31
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-11.95,-18.72,gp,mfp,freesolv,minimize,ucb,0,32
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-11.14,-18.72,gp,mfp,freesolv,minimize,ucb,0,33
COC(=O)c1ccc(O)cc1,-9.51,-18.72,gp,mfp,freesolv,minimize,ucb,0,34
O=[N+]([O-])C(Cl)(Cl)Cl,-1.45,-18.72,gp,mfp,freesolv,minimize,ucb,0,35
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.22,-18.72,gp,mfp,freesolv,minimize,ucb,0,36
C=O,-2.75,-18.72,gp,mfp,freesolv,minimize,ucb,0,37
O=[N+]([O-])c1ccc(O)cc1,-10.64,-18.72,gp,mfp,freesolv,minimize,ucb,0,38
O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl,-9.01,-18.72,gp,mfp,freesolv,minimize,ucb,0,39
O=C1NC(=O)c2ccccc21,-9.61,-18.72,gp,mfp,freesolv,minimize,ucb,0,40
N#Cc1ccc(O)cc1,-10.17,-18.72,gp,mfp,freesolv,minimize,ucb,0,41
COC(=O)c1ccc([N+](=O)[O-])cc1,-6.88,-18.72,gp,mfp,freesolv,minimize,ucb,0,42
C1=CC=CCC=C1,-0.99,-18.72,gp,mfp,freesolv,minimize,ucb,0,43
Oc1ccc(F)cc1,-6.19,-18.72,gp,mfp,freesolv,minimize,ucb,0,44
COc1ccc(C(C)=O)cc1,-4.4,-18.72,gp,mfp,freesolv,minimize,ucb,0,45
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53,-18.72,gp,mfp,freesolv,minimize,ucb,0,46
Oc1ccc(Cl)cc1,-7.03,-18.72,gp,mfp,freesolv,minimize,ucb,0,47
COc1cc(C=O)c(Cl)c(OC)c1O,-7.78,-18.72,gp,mfp,freesolv,minimize,ucb,0,48
Nc1cccc2c1C(=O)c1ccccc1C2=O,-9.44,-18.72,gp,mfp,freesolv,minimize,ucb,0,49
Cc1ccc(C(=O)N(C)C)cc1,-9.76,-18.72,gp,mfp,freesolv,minimize,ucb,0,50
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64,-18.72,gp,mfp,freesolv,minimize,ucb,0,51
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41,-18.72,gp,mfp,freesolv,minimize,ucb,0,52
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53,-18.72,gp,mfp,freesolv,minimize,ucb,0,53
Brc1ccc(Br)cc1,-2.3,-18.72,gp,mfp,freesolv,minimize,ucb,0,54
O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-14.21,-18.72,gp,mfp,freesolv,minimize,ucb,0,55
O=[N+]([O-])c1cccc(O)c1,-9.62,-18.72,gp,mfp,freesolv,minimize,ucb,0,56
Nc1ccc([N+](=O)[O-])cc1,-9.82,-18.72,gp,mfp,freesolv,minimize,ucb,0,57
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-3.17,-18.72,gp,mfp,freesolv,minimize,ucb,0,58
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.43,-18.72,gp,mfp,freesolv,minimize,ucb,0,59
C1CNCCN1,-7.4,-18.72,gp,mfp,freesolv,minimize,ucb,0,60
C1COCCN1,-7.17,-18.72,gp,mfp,freesolv,minimize,ucb,0,61
Nc1cccc([N+](=O)[O-])c1,-8.84,-18.72,gp,mfp,freesolv,minimize,ucb,0,62
O=Cc1cccc(O)c1,-9.52,-18.72,gp,mfp,freesolv,minimize,ucb,0,63
COP(=S)(OC)SCn1nnc2ccccc2c1=O,-10.03,-18.72,gp,mfp,freesolv,minimize,ucb,0,64
O=C1CCCC1,-4.7,-18.72,gp,mfp,freesolv,minimize,ucb,0,65
N#Cc1ccccc1,-4.1,-18.72,gp,mfp,freesolv,minimize,ucb,0,66
O=Cc1ccccc1O,-4.68,-18.72,gp,mfp,freesolv,minimize,ucb,0,67
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-18.72,gp,mfp,freesolv,minimize,ucb,0,68
N#Cc1cccnc1,-6.75,-18.72,gp,mfp,freesolv,minimize,ucb,0,69
NN,-9.3,-18.72,gp,mfp,freesolv,minimize,ucb,0,70
CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.53,-18.72,gp,mfp,freesolv,minimize,ucb,0,71
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61,-18.72,gp,mfp,freesolv,minimize,ucb,0,72
CN(C)C(=O)Nc1ccccc1,-9.13,-18.72,gp,mfp,freesolv,minimize,ucb,0,73
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-6.78,-18.72,gp,mfp,freesolv,minimize,ucb,0,74
Oc1cccc(Cl)c1,-6.62,-18.72,gp,mfp,freesolv,minimize,ucb,0,75
O=[N+]([O-])OCCO,-8.18,-18.72,gp,mfp,freesolv,minimize,ucb,0,76
Nc1cccc(Cl)c1,-5.82,-18.72,gp,mfp,freesolv,minimize,ucb,0,77
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-3.37,-18.72,gp,mfp,freesolv,minimize,ucb,0,78
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64,-18.72,gp,mfp,freesolv,minimize,ucb,0,79
CNC(=O)ON=CC(C)(C)SC,-9.84,-18.72,gp,mfp,freesolv,minimize,ucb,0,80
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62,-23.62,gp,mfp,freesolv,minimize,ucb,0,81
Cc1c[nH]cn1,-10.27,-23.62,gp,mfp,freesolv,minimize,ucb,0,82
CC1=CC(=O)CC(C)(C)C1,-5.18,-23.62,gp,mfp,freesolv,minimize,ucb,0,83
CC(C)COC(=O)C(C)C,-1.69,-23.62,gp,mfp,freesolv,minimize,ucb,0,84
OCCO,-9.3,-23.62,gp,mfp,freesolv,minimize,ucb,0,85
OCC(F)(F)F,-4.31,-23.62,gp,mfp,freesolv,minimize,ucb,0,86
C=CCO,-5.03,-23.62,gp,mfp,freesolv,minimize,ucb,0,87
FC(F)=C(F)C(F)(F)F,2.93,-23.62,gp,mfp,freesolv,minimize,ucb,0,88
Cn1ccnc1,-8.41,-23.62,gp,mfp,freesolv,minimize,ucb,0,89
Cc1cc(C)cc(O)c1,-6.27,-23.62,gp,mfp,freesolv,minimize,ucb,0,90
c1cc[nH]c1,-4.78,-23.62,gp,mfp,freesolv,minimize,ucb,0,91
BrC(Br)Br,-2.13,-23.62,gp,mfp,freesolv,minimize,ucb,0,92
Oc1ccc2ccccc2c1,-8.11,-23.62,gp,mfp,freesolv,minimize,ucb,0,93
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4,-23.62,gp,mfp,freesolv,minimize,ucb,0,94
NC(=O)c1ccccc1,-11.0,-23.62,gp,mfp,freesolv,minimize,ucb,0,95
O=Cc1cccnc1,-7.1,-23.62,gp,mfp,freesolv,minimize,ucb,0,96
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.4,-23.62,gp,mfp,freesolv,minimize,ucb,0,97
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61,-23.62,gp,mfp,freesolv,minimize,ucb,0,98
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-3.61,-23.62,gp,mfp,freesolv,minimize,ucb,0,99
CC(=O)c1ccncc1,-7.62,-23.62,gp,mfp,freesolv,minimize,ucb,0,100
CNC(C)=O,-10.0,-23.62,gp,mfp,freesolv,minimize,ucb,0,101
CCCCCCCC(=O)OC,-2.04,-23.62,gp,mfp,freesolv,minimize,ucb,0,102
C=C,1.28,-23.62,gp,mfp,freesolv,minimize,ucb,0,103
C=CC=C,0.56,-23.62,gp,mfp,freesolv,minimize,ucb,0,104
CNC(=O)Oc1cccc2ccccc12,-9.45,-23.62,gp,mfp,freesolv,minimize,ucb,0,105
Nc1ccc2ccccc2c1,-7.47,-23.62,gp,mfp,freesolv,minimize,ucb,0,106
O=[N+]([O-])c1ccccc1O,-4.58,-23.62,gp,mfp,freesolv,minimize,ucb,0,107
CC(=O)c1cccnc1,-8.26,-23.62,gp,mfp,freesolv,minimize,ucb,0,108
CCNc1nc(NC(C)(C)C)nc(SC)n1,-6.68,-23.62,gp,mfp,freesolv,minimize,ucb,0,109
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78,-23.62,gp,mfp,freesolv,minimize,ucb,0,110
Oc1ccccc1I,-6.2,-23.62,gp,mfp,freesolv,minimize,ucb,0,111
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42,-23.62,gp,mfp,freesolv,minimize,ucb,0,112
c1ccc2ncccc2c1,-5.72,-23.62,gp,mfp,freesolv,minimize,ucb,0,113
CC(=O)Oc1ccccc1C(=O)O,-9.94,-23.62,gp,mfp,freesolv,minimize,ucb,0,114
O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52,-23.62,gp,mfp,freesolv,minimize,ucb,0,115
c1ccncc1,-4.69,-23.62,gp,mfp,freesolv,minimize,ucb,0,116
CC(C)CO,-4.5,-23.62,gp,mfp,freesolv,minimize,ucb,0,117
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66,-23.62,gp,mfp,freesolv,minimize,ucb,0,118
COc1cccc(O)c1,-7.66,-23.62,gp,mfp,freesolv,minimize,ucb,0,119
OC1CCCC1,-5.49,-23.62,gp,mfp,freesolv,minimize,ucb,0,120
OC1CCCCCC1,-5.48,-23.62,gp,mfp,freesolv,minimize,ucb,0,121
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-10.21,-23.62,gp,mfp,freesolv,minimize,ucb,0,122
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23,-23.62,gp,mfp,freesolv,minimize,ucb,0,123
OC1CCCCC1,-5.46,-23.62,gp,mfp,freesolv,minimize,ucb,0,124
CC[C@@H](C)CO,-4.42,-23.62,gp,mfp,freesolv,minimize,ucb,0,125
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,-7.0,-23.62,gp,mfp,freesolv,minimize,ucb,0,126
CC(C)O,-4.74,-23.62,gp,mfp,freesolv,minimize,ucb,0,127
CC(=O)OC(C)C,-2.64,-23.62,gp,mfp,freesolv,minimize,ucb,0,128
CC[C@@H](O)C(C)C,-3.88,-23.62,gp,mfp,freesolv,minimize,ucb,0,129
COC(=O)C(C)(C)C,-2.4,-23.62,gp,mfp,freesolv,minimize,ucb,0,130
COC(=O)CCl,-4.0,-23.62,gp,mfp,freesolv,minimize,ucb,0,131
CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,-8.15,-23.62,gp,mfp,freesolv,minimize,ucb,0,132
O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8,-23.62,gp,mfp,freesolv,minimize,ucb,0,133
COC(=O)C1CC1,-4.1,-23.62,gp,mfp,freesolv,minimize,ucb,0,134
CN(C)CCOC(c1ccccc1)c1ccccc1,-9.34,-23.62,gp,mfp,freesolv,minimize,ucb,0,135
C=C(c1ccccc1)c1ccccc1,-2.78,-23.62,gp,mfp,freesolv,minimize,ucb,0,136
Cc1c[nH]c2ccccc12,-5.88,-23.62,gp,mfp,freesolv,minimize,ucb,0,137
c1ccc(Oc2ccccc2)cc1,-2.87,-23.62,gp,mfp,freesolv,minimize,ucb,0,138
Oc1ccccc1,-6.6,-23.62,gp,mfp,freesolv,minimize,ucb,0,139
N#Cc1ccncc1,-6.02,-23.62,gp,mfp,freesolv,minimize,ucb,0,140
O=[N+]([O-])c1ccccc1,-4.12,-23.62,gp,mfp,freesolv,minimize,ucb,0,141
Nc1ccc(Cl)cc1,-5.9,-23.62,gp,mfp,freesolv,minimize,ucb,0,142
C1COCCO1,-5.06,-23.62,gp,mfp,freesolv,minimize,ucb,0,143
CCOC(=O)c1ccccc1,-3.64,-23.62,gp,mfp,freesolv,minimize,ucb,0,144
CN1CCNCC1,-7.77,-23.62,gp,mfp,freesolv,minimize,ucb,0,145
C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49,-23.62,gp,mfp,freesolv,minimize,ucb,0,146
C1CCNC1,-5.48,-23.62,gp,mfp,freesolv,minimize,ucb,0,147
CN(C)C=O,-7.81,-23.62,gp,mfp,freesolv,minimize,ucb,0,148
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55,-23.62,gp,mfp,freesolv,minimize,ucb,0,149
CCCSC(=O)N(CCC)CCC,-4.13,-23.62,gp,mfp,freesolv,minimize,ucb,0,150
