smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CCOP(=O)(OCC)OCC,-7.5,-7.5,gp,mordred,freesolv,minimize,ucb,0,0
CCCOC,-1.66,-7.5,gp,mordred,freesolv,minimize,ucb,0,1
Clc1ccc(Cl)c(Cl)c1Cl,-1.34,-7.5,gp,mordred,freesolv,minimize,ucb,0,2
CN1CCN(C)CC1,-7.58,-7.58,gp,mordred,freesolv,minimize,ucb,0,3
CC(C)NC(C)C,-3.22,-7.58,gp,mordred,freesolv,minimize,ucb,0,4
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-6.5,-7.58,gp,mordred,freesolv,minimize,ucb,0,5
CCCC[C@@H](C)CC,2.97,-7.58,gp,mordred,freesolv,minimize,ucb,0,6
CC1=CC(=O)[C@H](C(C)C)CC1,-4.51,-7.58,gp,mordred,freesolv,minimize,ucb,0,7
O=Cc1cccc(O)c1,-9.52,-9.52,gp,mordred,freesolv,minimize,ucb,0,8
CS(C)(=O)=O,-10.08,-10.08,gp,mordred,freesolv,minimize,ucb,0,9
CCCCCOC(C)=O,-2.51,-10.08,gp,mordred,freesolv,minimize,ucb,0,10
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-7.43,-10.08,gp,mordred,freesolv,minimize,ucb,0,11
COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl,-12.74,-12.74,gp,mordred,freesolv,minimize,ucb,0,12
ClCCOCCCl,-4.23,-12.74,gp,mordred,freesolv,minimize,ucb,0,13
Cc1ccc(N)cc1,-5.57,-12.74,gp,mordred,freesolv,minimize,ucb,0,14
CCc1ccccc1O,-5.66,-12.74,gp,mordred,freesolv,minimize,ucb,0,15
CCCCCCCN,-3.79,-12.74,gp,mordred,freesolv,minimize,ucb,0,16
CCCCCBr,-0.1,-12.74,gp,mordred,freesolv,minimize,ucb,0,17
Clc1cccnc1,-4.01,-12.74,gp,mordred,freesolv,minimize,ucb,0,18
c1ccc2c(c1)Cc1ccccc1-2,-3.35,-12.74,gp,mordred,freesolv,minimize,ucb,0,19
COc1ccc(C(C)=O)cc1,-4.4,-12.74,gp,mordred,freesolv,minimize,ucb,0,20
N#Cc1ccccc1,-4.1,-12.74,gp,mordred,freesolv,minimize,ucb,0,21
C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,-4.44,-12.74,gp,mordred,freesolv,minimize,ucb,0,22
CC(C)(C)Br,0.84,-12.74,gp,mordred,freesolv,minimize,ucb,0,23
