smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8,-4.8,ngboost,mfp,freesolv,minimize,ucb,0,0
OC1CCCC1,-5.49,-5.49,ngboost,mfp,freesolv,minimize,ucb,0,1
COc1cc(C)ccc1O,-5.8,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,2
CSC,-1.61,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,3
CCCNCCC,-3.65,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,4
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,5
CCc1ccc(C)cc1,-0.95,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,6
C=CCCC,1.68,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,7
C#CCCCCC,0.6,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,8
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64,-5.8,ngboost,mfp,freesolv,minimize,ucb,0,9
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,10
O=C1CCCC1,-4.7,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,11
CNC,-4.29,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,12
c1ccc2ncccc2c1,-5.72,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,13
c1ccc2cc3ccccc3cc2c1,-3.95,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,14
c1ccc(Oc2ccccc2)cc1,-2.87,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,15
c1ccc(Cn2ccnc2)cc1,-7.63,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,16
CCCCCC,2.48,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,17
CCc1cccc2ccccc12,-2.4,-10.78,ngboost,mfp,freesolv,minimize,ucb,0,18
