smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
O=c1[nH]cc(Cl)c(=O)[nH]1,-17.74,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,0
ClCCCCl,-1.89,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,1
CCCCCC(N)=O,-9.31,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,2
CNC(=O)Oc1cccc2ccccc12,-9.45,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,3
c1ccc2c(c1)Oc1ccccc1O2,-3.15,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,4
CCCCCCCCC,3.13,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,5
CCCOCCC,-1.16,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,6
Cc1ccnc(C)c1,-4.86,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,7
CC(=O)C1CCCCC1,-3.9,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,8
CCCCCCl,-0.1,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,9
CCCCCC,2.48,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,10
CCOC=O,-2.56,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,11
C#CCCC,0.01,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,12
Oc1ccc2ccccc2c1,-8.11,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,13
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-6.78,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,14
Nc1ccc(Cl)cc1,-5.9,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,15
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,16
CCNc1nc(NC(C)C)nc(SC)n1,-7.65,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,17
C=CCCCCC,1.66,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,18
Oc1ccccc1,-6.6,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,19
Cc1cnccn1,-5.51,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,20
OC1CCCCCC1,-5.48,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,21
COC(=O)c1ccc(O)cc1,-9.51,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,22
Ic1ccccc1,-1.74,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,23
CN(C)C=O,-7.81,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,24
O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83,-17.74,ngboost,mordred,freesolv,minimize,ucb,0,25
O=c1[nH]cc(Br)c(=O)[nH]1,-18.17,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,26
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,27
O=c1[nH]cc(F)c(=O)[nH]1,-16.92,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,28
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-15.46,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,29
FC(F)(F)[C@H](Cl)Br,-0.11,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,30
FC(F)(Cl)C(F)(Cl)Cl,1.77,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,31
OCC(F)(F)F,-4.31,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,32
O=[N+]([O-])C(Cl)(Cl)Cl,-1.45,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,33
C[C@@H](O)C(F)(F)F,-4.2,-18.17,ngboost,mordred,freesolv,minimize,ucb,0,34
O=c1[nH]cc(I)c(=O)[nH]1,-18.72,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,35
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,36
O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,37
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,38
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,39
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-11.14,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,40
COc1c(Cl)ccc(Cl)c1C(=O)O,-9.86,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,41
CCC(=O)O,-6.46,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,42
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,43
CCCC(=O)O,-6.35,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,44
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,45
CC(=O)Oc1ccccc1C(=O)O,-9.94,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,46
CCCOC(=O)c1ccc(O)cc1,-9.37,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,47
CN(C)C(=O)Nc1ccccc1,-9.13,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,48
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-10.21,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,49
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,50
COc1cc(C=O)c(Cl)c(OC)c1O,-7.78,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,51
Cc1c[nH]c2ccccc12,-5.88,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,52
O=C1NC(=O)c2ccccc21,-9.61,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,53
O=[N+]([O-])c1cccc(O)c1,-9.62,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,54
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,55
O=[N+]([O-])c1ccc(O)cc1,-10.64,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,56
C=C(Cl)Cl,0.25,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,57
Nc1ccc([N+](=O)[O-])cc1,-9.82,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,58
CC(Cl)Cl,-0.84,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,59
O=Cc1cccc(O)c1,-9.52,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,60
O=Cc1ccccc1O,-4.68,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,61
N#Cc1ccc(O)cc1,-10.17,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,62
O=[N+]([O-])OCCO,-8.18,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,63
CNC(C)=O,-10.0,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,64
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,65
O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-14.21,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,66
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,67
Nc1cccc2c1C(=O)c1ccccc1C2=O,-9.44,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,68
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,-7.0,-18.72,ngboost,mordred,freesolv,minimize,ucb,0,69
O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52,-20.52,ngboost,mordred,freesolv,minimize,ucb,0,70
NN,-9.3,-20.52,ngboost,mordred,freesolv,minimize,ucb,0,71
COc1ccc(N)cc1,-7.48,-20.52,ngboost,mordred,freesolv,minimize,ucb,0,72
O=[N+]([O-])c1ccccc1O,-4.58,-20.52,ngboost,mordred,freesolv,minimize,ucb,0,73
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62,-23.62,ngboost,mordred,freesolv,minimize,ucb,0,74
OCCO,-9.3,-23.62,ngboost,mordred,freesolv,minimize,ucb,0,75
