smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
FC(F)[C@@H](F)Oc1ccccc1,-1.29,-1.29,random,mfp,freesolv,minimize,ucb,0,0
Cc1ccc(C)nc1,-4.72,-4.72,random,mfp,freesolv,minimize,ucb,0,1
CN1CCN(C)CC1,-7.58,-7.58,random,mfp,freesolv,minimize,ucb,0,2
CCCOC(C)=O,-2.79,-7.58,random,mfp,freesolv,minimize,ucb,0,3
FC(F)O[C@H](Cl)C(F)(F)F,0.1,-7.58,random,mfp,freesolv,minimize,ucb,0,4
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,-4.05,-7.58,random,mfp,freesolv,minimize,ucb,0,5
CCNc1nc(NC(C)C)nc(SC)n1,-7.65,-7.65,random,mfp,freesolv,minimize,ucb,0,6
ClC=CCl,-1.17,-7.65,random,mfp,freesolv,minimize,ucb,0,7
Cc1ccccc1N,-5.53,-7.65,random,mfp,freesolv,minimize,ucb,0,8
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62,-23.62,random,mfp,freesolv,minimize,ucb,0,9
CS(=O)(=O)Cl,-4.87,-23.62,random,mfp,freesolv,minimize,ucb,0,10
CC(C)CO,-4.5,-23.62,random,mfp,freesolv,minimize,ucb,0,11
C=CC(C)C,1.83,-23.62,random,mfp,freesolv,minimize,ucb,0,12
Clc1cccnc1,-4.01,-23.62,random,mfp,freesolv,minimize,ucb,0,13
CCc1cccc(O)c1,-6.25,-23.62,random,mfp,freesolv,minimize,ucb,0,14
CC(=O)C1CC1,-4.61,-23.62,random,mfp,freesolv,minimize,ucb,0,15
Cn1ccnc1,-8.41,-23.62,random,mfp,freesolv,minimize,ucb,0,16
C#CCCCCCC,0.71,-23.62,random,mfp,freesolv,minimize,ucb,0,17
CC1=CC(=O)CC(C)(C)C1,-5.18,-23.62,random,mfp,freesolv,minimize,ucb,0,18
CN(C)C=O,-7.81,-23.62,random,mfp,freesolv,minimize,ucb,0,19
CCCCCCI,0.08,-23.62,random,mfp,freesolv,minimize,ucb,0,20
CCC[C@@H](C)O,-4.39,-23.62,random,mfp,freesolv,minimize,ucb,0,21
FC(F)Cl,-0.5,-23.62,random,mfp,freesolv,minimize,ucb,0,22
