smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
c1cc2c3c(cccc3c1)CC2,-3.15,-3.15,sngp,mordred,freesolv,minimize,ucb,0,0
O=C1CCCCC1,-4.91,-4.91,sngp,mordred,freesolv,minimize,ucb,0,1
Cc1ccccc1C=O,-3.93,-4.91,sngp,mordred,freesolv,minimize,ucb,0,2
COC(=O)c1ccc([N+](=O)[O-])cc1,-6.88,-6.88,sngp,mordred,freesolv,minimize,ucb,0,3
C=CCCCCC,1.66,-6.88,sngp,mordred,freesolv,minimize,ucb,0,4
Cc1ccccc1[N+](=O)[O-],-3.58,-6.88,sngp,mordred,freesolv,minimize,ucb,0,5
Cc1cc2ccccc2cc1C,-2.78,-6.88,sngp,mordred,freesolv,minimize,ucb,0,6
CCCC(=O)OCC,-2.49,-6.88,sngp,mordred,freesolv,minimize,ucb,0,7
CC1=CC(=O)[C@H](C(C)C)CC1,-4.51,-6.88,sngp,mordred,freesolv,minimize,ucb,0,8
ClCCOCCCl,-4.23,-6.88,sngp,mordred,freesolv,minimize,ucb,0,9
C=CCCC=C,1.01,-6.88,sngp,mordred,freesolv,minimize,ucb,0,10
C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,-4.44,-6.88,sngp,mordred,freesolv,minimize,ucb,0,11
CCCCCCO,-4.4,-6.88,sngp,mordred,freesolv,minimize,ucb,0,12
CCCCl,-0.33,-6.88,sngp,mordred,freesolv,minimize,ucb,0,13
Cc1ccc(O)cc1,-6.13,-6.88,sngp,mordred,freesolv,minimize,ucb,0,14
C=CC(C)C,1.83,-6.88,sngp,mordred,freesolv,minimize,ucb,0,15
CCCO,-4.85,-6.88,sngp,mordred,freesolv,minimize,ucb,0,16
CC(=O)C1CCCCC1,-3.9,-6.88,sngp,mordred,freesolv,minimize,ucb,0,17
N#Cc1ccc(O)cc1,-10.17,-10.17,sngp,mordred,freesolv,minimize,ucb,0,18
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55,-10.17,sngp,mordred,freesolv,minimize,ucb,0,19
CCCCC(=O)O,-6.16,-10.17,sngp,mordred,freesolv,minimize,ucb,0,20
COc1ccccc1O,-5.94,-10.17,sngp,mordred,freesolv,minimize,ucb,0,21
CCC(=O)CC,-3.41,-10.17,sngp,mordred,freesolv,minimize,ucb,0,22
CCCCNCCCC,-3.24,-10.17,sngp,mordred,freesolv,minimize,ucb,0,23
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61,-10.17,sngp,mordred,freesolv,minimize,ucb,0,24
Clc1ccccn1,-4.39,-10.17,sngp,mordred,freesolv,minimize,ucb,0,25
O=Cc1cccnc1,-7.1,-10.17,sngp,mordred,freesolv,minimize,ucb,0,26
c1ccc2ncccc2c1,-5.72,-10.17,sngp,mordred,freesolv,minimize,ucb,0,27
Clc1cccnc1,-4.01,-10.17,sngp,mordred,freesolv,minimize,ucb,0,28
CN(C)C(=O)Nc1ccccc1,-9.13,-10.17,sngp,mordred,freesolv,minimize,ucb,0,29
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82,-10.17,sngp,mordred,freesolv,minimize,ucb,0,30
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53,-10.17,sngp,mordred,freesolv,minimize,ucb,0,31
C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49,-10.17,sngp,mordred,freesolv,minimize,ucb,0,32
Cc1ccc(C(=O)N(C)C)cc1,-9.76,-10.17,sngp,mordred,freesolv,minimize,ucb,0,33
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.43,-16.43,sngp,mordred,freesolv,minimize,ucb,0,34
O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-14.21,-16.43,sngp,mordred,freesolv,minimize,ucb,0,35
