index,compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcalmol),experimental uncertainty (kcalmol),Mobley group calculated value (GAFF) (kcalmol),calculated uncertainty (kcalmol),experimental reference (original or paper this value was taken from),calculated reference,text notes.,mol,isosmiles
0,mobley_1017962, CCCCCC(=O)OC, methyl hexanoate,-2.49,0.6,-3.3,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce760>,CCCCCC(=O)OC
1,mobley_1019269, CCCCO, butan-1-ol,-4.72,0.6,-3.23,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce5e0>,CCCCO
2,mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-3.04,0.1,-1.08,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce8e0>,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
3,mobley_1036761, C1CCC(CC1)N, cyclohexanamine,-4.59,0.6,-3.95,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce160>,NC1CCCCC1
4,mobley_1046331, c1ccc(cc1)OC=O, phenyl formate,-3.82,0.6,-5.44,0.03," J. Peter Guthrie, unpublished data, as provided to D. Mobley 20072008, and as cited in 10.1021jp0764384", 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce040>,O=COc1ccccc1
5,mobley_1075836, CCC(=O)OC, methyl propanoate,-2.93,0.6,-3.65,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476cefa0>,CCC(=O)OC
6,mobley_1079207, c1cc(cc(c1)Cl)Cl," 1,3-dichlorobenzene",-0.98,0.6,-0.11,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce820>,Clc1cccc(Cl)c1
7,mobley_1107178, CCI, iodoethane,-0.74,0.6,-0.61,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce4c0>,CCI
8,mobley_1139153, CC(C)CC(C)(C)C," 2,2,4-trimethylpentane",2.89,0.6,2.54,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476c9fa0>,CC(C)CC(C)(C)C
9,mobley_1144156, CCOCC, ethoxyethane,-1.59,0.6,-0.62,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d28e0>,CCOCC
10,mobley_1160109, C[C@@H]1CC[C@H](CC1=O)C(=C)C," (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",-3.75,0.21,-3.34,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d23a0>,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1
11,mobley_1178614, c1ccc(c(c1)O)Cl, 2-chlorophenol,-4.55,0.6,-3.32,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d29a0>,Oc1ccccc1Cl
