ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,LogBCF,ID,mol,isosmiles
100001,50-29-3,50-29-3,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"P,P'-DDT","p,p'-DDT","1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-chlorobenzene)",97934,DTXSID4020375,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,?,4.29,100001,<rdkit.Chem.rdchem.Mol object at 0x2b7b5a04d220>,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
100002,50-30-6,50-30-6,OC(=O)c1c(Cl)cccc1Cl,"2,6-DICHLOROBENZOIC ACID","2,6-Dichlorobenzoic acid","2,6-dichlorobenzoic acid",97935,DTXSID0024979,OC(=O)c1c(Cl)cccc1Cl,"InChI=1S/C7H4Cl2O2/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H,10,11)",MRUDNSFOFOQZDA-UHFFFAOYSA-N,?,0.26,100002,<rdkit.Chem.rdchem.Mol object at 0x2b7b5a04d0a0>,O=C(O)c1c(Cl)cccc1Cl
100003,50-31-7,50-31-7,OC(=O)c1c(Cl)c(Cl)ccc1Cl,"2,3,6-TRICHLOROBENZOIC ACID","2,3,6-Trichlorobenzoic acid","2,3,6-trichlorobenzoic acid",97936,DTXSID6040296,OC(=O)c1c(Cl)c(Cl)ccc1Cl,"InChI=1S/C7H3Cl3O2/c8-3-1-2-4(9)6(10)5(3)7(11)12/h1-2H,(H,11,12)",XZIDTOHMJBOSOX-UHFFFAOYSA-N,?,0.54,100003,<rdkit.Chem.rdchem.Mol object at 0x2b7b59babe80>,O=C(O)c1c(Cl)ccc(Cl)c1Cl
100004,51-28-5,51-28-5,[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,"2,4-DINITROPHENOL","2,4-Dinitrophenol","2,4-dinitrophenol",97937,DTXSID0020523,[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",UFBJCMHMOXMLKC-UHFFFAOYSA-N,?,0.57,100004,<rdkit.Chem.rdchem.Mol object at 0x2b7b59f183a0>,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
100006,55-38-9,55-38-9,Cc1cc(ccc1SC)OP(=S)(OC)OC,FENTHION,Fenthion,"O,O-dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate",97939,DTXSID8020620,Cc1cc(ccc1SC)OP(=S)(OC)OC,"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",PNVJTZOFSHSLTO-UHFFFAOYSA-N,?,2.52,100006,<rdkit.Chem.rdchem.Mol object at 0x2b7b596cda60>,COP(=S)(OC)Oc1ccc(SC)c(C)c1
100007,56-23-5,56-23-5,ClC(Cl)(Cl)Cl,CARBON TETRACHLORIDE,Carbon tetrachloride,tetrachloromethane,97940,DTXSID8020250,ClC(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",VZGDMQKNWNREIO-UHFFFAOYSA-N,?,0.87,100007,<rdkit.Chem.rdchem.Mol object at 0x2b7b5a0412e0>,ClC(Cl)(Cl)Cl
100008,56-38-2,56-38-2,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,PARATHION,Parathion,"O,O-diethyl O-(4-nitrophenyl) phosphorothioate",97941,DTXSID7021100,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",LCCNCVORNKJIRZ-UHFFFAOYSA-N,?,1.99,100008,<rdkit.Chem.rdchem.Mol object at 0x2b7b59f11880>,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
100011,57-15-8,57-15-8,OC(C(Cl)(Cl)Cl)(C)C,"B,B,B-TRICHLORO-T-BUTANOL","1,1,1-Trichloro-2-methyl-2-propanol","1,1,1-trichloro-2-methylpropan-2-ol",97943,DTXSID1041217,CC(C)(O)C(Cl)(Cl)Cl,"InChI=1S/C4H7Cl3O/c1-3(2,8)4(5,6)7/h8H,1-2H3",OSASVXMJTNOKOY-UHFFFAOYSA-N,?,0.23,100011,<rdkit.Chem.rdchem.Mol object at 0x2b7b59f118e0>,CC(C)(O)C(Cl)(Cl)Cl
100012,57-74-9|5103-71-9|12789-03-6,57-74-9|5103-71-9,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,"CHLORDANE, ALPHA-CHLORDANE",Chlordane,C10H6Cl8,97944|98439|98457,DTXSID7020267|DTXSID6038326,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",BIWJNBZANLAXMG-UHFFFAOYSA-N,?,4.35333333333333,100012,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8ec40>,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
100013,58-89-9|319-84-6|319-85-7|319-86-8|608-73-1,58-89-9|319-84-6|319-85-7|319-86-8|608-73-1,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|","GAMMA-HEXACHLOROCYCLOHEXANE, ALPHA-HEXACHLOROCYCLOHEXANE, BETA-HEXACHLOROCYCLOHEXANE, DELTA-HEXACHLOROCYCLOHEXANE, 1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE (mixture)",Lindane,"1,2,3,4,5,6-hexachlorocyclohexane",97945|98262|98263|98264|98308,DTXSID2020686|DTXSID2020684|DTXSID7020685|DTXSID5024134|DTXSID7020687,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,?,3.0400000000000005,100013,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8eca0>,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
