ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,LogKOC,ID,mol,isosmiles
100001,50-29-3,50-29-3,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"P,P'-DDT","p,p'-DDT","1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-chlorobenzene)",99278,DTXSID4020375,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,5.31,100001,<rdkit.Chem.rdchem.Mol object at 0x2ae48e07b520>,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
100002,50-32-8,50-32-8,c1c2ccccc2c2ccc3cccc4ccc1c2c34,BENZO(A)PYRENE,Benzo(a)pyrene,benzo[pqr]tetraphene,99279,DTXSID2020139,c1c2ccccc2c2ccc3cccc4ccc1c2c34,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,5.95,100002,<rdkit.Chem.rdchem.Mol object at 0x2ae48e07b0a0>,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
100003,50-65-7,50-65-7,[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,NICLOSAMIDE,Niclosamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,99280,DTXSID7040362,[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,"InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)",RJMUSRYZPJIFPJ-UHFFFAOYSA-N,3.35,100003,<rdkit.Chem.rdchem.Mol object at 0x2ae48e07b7c0>,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
100005,52-68-6,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,TRICHLORFON,Trichlorfon,"dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate",99282,DTXSID0021389,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3",NFACJZMKEDPNKN-UHFFFAOYSA-N,1.9,100005,<rdkit.Chem.rdchem.Mol object at 0x2ae48e07bc40>,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
100006,53-70-3,53-70-3,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,"DIBENZ(A,H)ANTHRACENE","Dibenz(a,h)anthracene",benzo[k]tetraphene,99283,DTXSID9020409,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,InChI=1S/C22H14/c1-3-7-19-15(5-1)9-11-17-14-22-18(13-21(17)19)12-10-16-6-2-4-8-20(16)22/h1-14H,LHRCREOYAASXPZ-UHFFFAOYSA-N,6.22,100006,<rdkit.Chem.rdchem.Mol object at 0x2ae48d936220>,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
100007,53-96-3,53-96-3,CC(=O)Nc1cc2Cc3ccccc3-c2cc1,N-2-FLUORENYLACETAMIDE,2-Acetylaminofluorene,N-(9H-fluoren-2-yl)acetamide,99284,DTXSID0039227,CC(=O)Nc1cc2Cc3ccccc3-c2cc1,"InChI=1S/C15H13NO/c1-10(17)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,16,17)",CZIHNRWJTSTCEX-UHFFFAOYSA-N,3.14,100007,<rdkit.Chem.rdchem.Mol object at 0x2ae48d92a340>,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
100009,55-21-0,55-21-0,NC(=O)c1ccccc1,BENZAMIDE,Benzamide,benzamide,99286,DTXSID0021709,NC(=O)c1ccccc1,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",KXDAEFPNCMNJSK-UHFFFAOYSA-N,1.46,100009,<rdkit.Chem.rdchem.Mol object at 0x2ae48df991c0>,NC(=O)c1ccccc1
100010,55-38-9,55-38-9,Cc1cc(ccc1SC)OP(=S)(OC)OC,FENTHION,Fenthion,"O,O-dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate",99287,DTXSID8020620,Cc1cc(ccc1SC)OP(=S)(OC)OC,"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",PNVJTZOFSHSLTO-UHFFFAOYSA-N,3.18,100010,<rdkit.Chem.rdchem.Mol object at 0x2ae48df99160>,COP(=S)(OC)Oc1ccc(SC)c(C)c1
100011,56-04-2,56-04-2,CC1=CC(=O)NC(=S)N1,METACIL,6-Methyl-2-thiouracil,"6-methyl-2-thioxo-2,3-dihydropyrimidin-4(1H)-one",99288,DTXSID2020890,CC1=CC(=O)NC(=S)N1,"InChI=1S/C5H6N2OS/c1-3-2-4(8)7-5(9)6-3/h2H,1H3,(H2,6,7,8,9)",HWGBHCRJGXAGEU-UHFFFAOYSA-N,2.14,100011,<rdkit.Chem.rdchem.Mol object at 0x2ae48d7357c0>,Cc1cc(=O)[nH]c(=S)[nH]1
100013,56-38-2,56-38-2,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,PARATHION,Parathion,"O,O-diethyl O-(4-nitrophenyl) phosphorothioate",99290,DTXSID7021100,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",LCCNCVORNKJIRZ-UHFFFAOYSA-N,3.2,100013,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735820>,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
