smi,y,trace,model,feature,dataset,goal,acq_func,run,eval
CC(C)CCOC(=O)c1ccccc1O,1,1,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,0
CCCCC(CC)COP(=O)(O)CC(CC)CCCC,0,1,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,1
CC(=O)OCC(C)C,1,2,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,2
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,0,2,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,3
COc1ccc(O)cc1,1,3,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,4
CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1,0,3,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,5
Cc1cc(C)c(N)c(Cl)c1,0,3,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,6
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1,4,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,7
NC1CCCCC1,1,5,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,8
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,6,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,9
NC(Cc1ccccc1)C(=O)O,1,7,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,10
COc1ccc(N)cc1,1,8,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,11
c1ccc(CCc2ccccc2)cc1,1,9,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,12
Cc1cc(Cl)ccc1OCC(=O)O,0,9,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,13
O=C(O)COc1ccc(Cl)cc1Cl,0,9,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,14
CC(C)CC(C)(C)C,0,9,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,15
Clc1cccc(Cl)c1Cl,0,9,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,16
CCCCO,1,10,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,17
N#Cc1cc(Br)c(O)c(Br)c1,1,11,gnngp,graphnet,opera_RBioDeg,maximize,greedy_binary,0,18
