ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MP,ID
100005,50-06-6,50-06-6,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,PHENOBARBITAL,Phenobarbital,"5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione",27425,DTXSID5021122,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",DDBREPKUVSBGFI-UHFFFAOYSA-N,?,,174.0,100005
100010,50-14-6,50-14-6,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(/CCC[C@@]21C)=C/C=C1/C[C@@H](O)CCC/1=C,Vitamin D2,Ergocalciferol,"(3S,5Z,7E,22E)-9,10-secoergosta-5,7,10,22-tetraen-3-ol",27429,DTXSID5020233,CC(C)C(C)C=CC(C)C1CCC2C(CCCC21C)=CC=C1CC(O)CCC1=C,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13+",MECHNRXZTMCUDQ-ZJGOHBTISA-N,?,,116.5,100010
100014,50-22-6,50-22-6,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,CORTICOSTERONE,Corticosterone,"(11beta)-11,21-dihydroxypregn-4-ene-3,20-dione",27433,DTXSID6022474,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC21)C(=O)CO,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3",OMFXVFTZEKFJBZ-UHFFFAOYSA-N,?,,181.0,100014
100018,50-29-3,50-29-3,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"P,P'-DDT","p,p'-DDT","1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-chlorobenzene)",27437,DTXSID4020375,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,?,,108.5,100018
100022,50-33-9,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,PHENYLBUTAZONE,Phenylbutazone,"4-butyl-1,2-diphenylpyrazolidine-3,5-dione",27441,DTXSID9021136,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,"InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",VYMDGNCVAMGZFE-UHFFFAOYSA-N,?,,105.0,100022
100026,50-37-3,50-37-3,CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,LSD,Lysergide,"(8beta)-N,N-diethyl-6-methyl-9,10-didehydroergoline-8-carboxamide",27445,DTXSID1023231,CN1CC(C=C2C1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,"InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3",VAYOSLLFUXYJDT-UHFFFAOYSA-N,?,,82.5,100026
100030,50-45-3,50-45-3,OC(=O)c1cccc(Cl)c1Cl,"Benzoic acid, 2,3-dichloro-","2,3-Dichlorobenzoic acid","2,3-dichlorobenzoic acid",27449,DTXSID5024976,OC(=O)c1cccc(Cl)c1Cl,"InChI=1S/C7H4Cl2O2/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3H,(H,10,11)",QAOJBHRZQQDFHA-UHFFFAOYSA-N,?,,169.0,100030
100034,50-52-2,50-52-2,CN1CCCCC1CCN1c2cc(ccc2Sc2ccccc12)SC,THIORIDAZINE,Thioridazine,10-[2-(1-methylpiperidin-2-yl)ethyl]-2-(methylsulfanyl)-10H-phenothiazine,27453,DTXSID6023656,CN1CCCCC1CCN1c2cc(ccc2Sc2ccccc12)SC,"InChI=1S/C21H26N2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(24-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3",KLBQZWRITKRQQV-UHFFFAOYSA-N,?,,73.0,100034
100039,50-67-9,50-67-9,NCCc1c[nH]c2ccc(O)cc21,5-HYDROXYTRYPTAMINE,Serotonin,3-(2-Aminoethyl)-1H-indol-5-ol,27457,DTXSID8075330,NCCc1c[nH]c2ccc(O)cc21,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",QZAYGJVTTNCVMB-UHFFFAOYSA-N,?,,167.5,100039
100045,50-79-3,50-79-3,OC(=O)c1cc(Cl)ccc1Cl,"2,5-DICHLOROBENZOIC ACID","2,5-Dichlorobenzoic acid","2,5-dichlorobenzoic acid",27461,DTXSID5024978,OC(=O)c1cc(Cl)ccc1Cl,"InChI=1S/C7H4Cl2O2/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3H,(H,10,11)",QVTQYSFCFOGITD-UHFFFAOYSA-N,?,,154.4,100045
